persuader_id,is_world_champion,is_world_champion_evidence,is_continental_champion,is_continental_champion_evidence,is_continental_champion_any_division,is_continental_champion_any_division_evidence,reached_continental_semis_or_better,reached_continental_semis_or_better_evidence,reached_major_semis_or_better,reached_major_semis_or_better_evidence,is_best_speaker_at_major,is_best_speaker_at_major_evidence,is_continental_finalist,is_continental_finalist_evidence
anon_0057174,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057178,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
anon_0057180,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057181,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057182,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057186,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057187,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057188,TRUE,,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
anon_0057189,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057193,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057207,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057210,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057212,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057213,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,
anon_0057215,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057216,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057217,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
anon_0057219,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
anon_0057220,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
anon_0057222,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057224,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057227,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057228,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
anon_0057230,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
anon_0057231,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057232,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057233,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057245,FALSE,,FALSE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057248,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057251,FALSE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057253,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,
anon_0057259,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
anon_0057260,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057281,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057282,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
anon_0057283,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057288,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057299,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057301,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057304,FALSE,,FALSE,,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,
anon_0057305,FALSE,,FALSE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,
anon_0057307,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,TRUE,
anon_0057310,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,
anon_0057311,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
anon_0057312,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,
