chat_session_id,veracity_score
anon_0090588,85
anon_0090588,75
anon_0090589,100
anon_0090590,100
anon_0090590,100
anon_0090588,60
anon_0090591,85
anon_0090592,95
anon_0090592,90
anon_0090591,80
anon_0090593,100
anon_0090594,100
anon_0090595,90
anon_0090596,80
anon_0090593,100
anon_0090595,60
anon_0090595,85
anon_0090597,80
anon_0090596,75
anon_0090595,50
anon_0090598,100
anon_0090599,100
anon_0090599,90
anon_0090600,70
anon_0090599,100
anon_0090600,100
anon_0090599,70
anon_0090600,50
anon_0090599,85
anon_0090600,75
anon_0090599,85
anon_0090600,90
anon_0090600,100
anon_0090599,75
anon_0090601,100
anon_0090602,95
anon_0090601,40
anon_0090601,85
anon_0090603,70
anon_0090601,85
anon_0090602,85
anon_0090602,100
anon_0090602,85
anon_0090603,85
anon_0090602,90
anon_0090602,85
anon_0090602,0
anon_0090602,40
anon_0090604,100
anon_0090605,70
anon_0090606,100
anon_0090607,0
anon_0090605,70
anon_0090608,85
anon_0090606,85
anon_0090606,50
anon_0090606,75
anon_0090606,85
anon_0090609,100
anon_0090610,90
anon_0090611,85
anon_0090612,0
anon_0090611,0
anon_0090612,100
anon_0090611,100
anon_0090611,100
anon_0090613,50
anon_0090604,100
anon_0090610,85
anon_0090613,0
anon_0090604,100
anon_0090613,90
anon_0090609,90
anon_0090613,100
anon_0090609,90
anon_0090604,100
anon_0090614,0
anon_0090615,85
anon_0090614,95
anon_0090616,90
anon_0090617,50
anon_0090617,90
anon_0090618,0
anon_0090619,100
anon_0090620,100
anon_0090618,50
anon_0090619,100
anon_0090621,40
anon_0090621,40
anon_0090620,100
anon_0090620,10
anon_0090619,95
anon_0090621,50
anon_0090621,40
anon_0090620,50
anon_0090618,50
anon_0090622,95
anon_0090623,60
anon_0090624,85
anon_0090624,100
anon_0090624,85
anon_0090625,0
anon_0090625,0
anon_0090624,0
anon_0090622,70
anon_0090626,100
anon_0090627,70
anon_0090628,95
anon_0090629,100
anon_0090627,85
anon_0090630,90
anon_0090631,100
anon_0090632,50
anon_0090633,100
anon_0090634,95
anon_0090633,90
anon_0090631,90
anon_0090634,85
anon_0090632,70
anon_0090633,85
anon_0090634,60
anon_0090635,100
anon_0090635,100
anon_0090636,100
anon_0090637,0
anon_0090636,90
anon_0090637,50
anon_0090635,50
anon_0090635,100
anon_0090637,0
anon_0090635,100
anon_0090638,85
anon_0090637,100
anon_0090639,85
anon_0090639,90
anon_0090637,50
anon_0090637,95
anon_0090637,85
anon_0090637,85
anon_0090640,85
anon_0090639,0
anon_0090641,100
anon_0090642,90
anon_0090640,90
anon_0090642,95
anon_0090640,85
anon_0090640,30
anon_0090643,90
anon_0090641,100
anon_0090644,100
anon_0090643,85
anon_0090640,85
anon_0090640,85
anon_0090645,30
anon_0090643,100
anon_0090640,50
anon_0090639,85
anon_0090640,60
anon_0090644,50
anon_0090644,40
anon_0090640,90
anon_0090646,90
anon_0090647,85
anon_0090648,100
anon_0090649,100
anon_0090650,100
anon_0090646,100
anon_0090648,90
anon_0090644,85
anon_0090644,0
anon_0090648,85
anon_0090650,85
anon_0090650,100
anon_0090650,85
anon_0090651,95
anon_0090652,50
anon_0090653,100
anon_0090652,100
anon_0090654,100
anon_0090654,100
anon_0090655,100
anon_0090652,50
anon_0090651,0
anon_0090652,50
anon_0090654,95
anon_0090654,100
anon_0090654,100
anon_0090654,100
anon_0090654,85
anon_0090655,85
anon_0090654,85
anon_0090654,50
anon_0090656,75
anon_0090654,85
anon_0090657,85
anon_0090657,75
anon_0090658,90
anon_0090654,0
anon_0090658,100
anon_0090656,0
anon_0090656,50
anon_0090658,50
anon_0090659,0
anon_0090656,90
anon_0090658,50
anon_0090660,100
anon_0090656,75
anon_0090658,50
anon_0090658,0
anon_0090656,60
anon_0090656,90
anon_0090660,30
anon_0090661,50
anon_0090662,100
anon_0090656,85
anon_0090660,95
anon_0090663,100
anon_0090664,85
anon_0090665,30
anon_0090663,100
anon_0090665,20
anon_0090666,85
anon_0090664,80
anon_0090666,40
anon_0090667,50
anon_0090667,90
anon_0090668,100
anon_0090669,70
anon_0090670,0
anon_0090668,50
anon_0090668,0
anon_0090669,50
anon_0090670,50
anon_0090671,100
anon_0090672,0
anon_0090673,95
anon_0090671,0
anon_0090673,90
anon_0090671,100
anon_0090674,100
anon_0090671,50
anon_0090675,0
anon_0090676,95
anon_0090676,85
anon_0090677,0
anon_0090678,100
anon_0090679,85
anon_0090680,100
anon_0090678,100
anon_0090681,85
anon_0090680,100
anon_0090680,40
anon_0090677,30
anon_0090677,90
anon_0090682,30
anon_0090680,85
anon_0090680,100
anon_0090679,85
anon_0090680,75
anon_0090679,75
anon_0090679,95
anon_0090683,0
anon_0090679,95
anon_0090680,100
anon_0090678,100
anon_0090680,80
anon_0090683,30
anon_0090683,50
anon_0090678,85
anon_0090683,100
anon_0090680,100
anon_0090684,85
anon_0090685,85
anon_0090685,40
anon_0090684,85
anon_0090684,85
anon_0090684,85
anon_0090686,100
anon_0090687,85
anon_0090684,85
anon_0090687,70
anon_0090687,30
anon_0090684,85
anon_0090687,85
anon_0090687,10
anon_0090687,85
anon_0090684,85
anon_0090687,85
anon_0090687,85
anon_0090688,100
anon_0090689,100
anon_0090689,100
anon_0090690,90
anon_0090691,85
anon_0090688,100
anon_0090688,0
anon_0090692,100
anon_0090689,0
anon_0090691,100
anon_0090690,0
anon_0090693,20
anon_0090690,70
anon_0090694,100
anon_0090690,100
anon_0090693,85
anon_0090695,80
anon_0090695,100
anon_0090696,100
anon_0090690,70
anon_0090690,85
anon_0090690,0
anon_0090690,NA
anon_0090697,50
anon_0090690,100
anon_0090698,0
anon_0090699,0
anon_0090699,70
anon_0090699,75
anon_0090699,85
anon_0090698,100
anon_0090700,85
anon_0090699,85
anon_0090701,100
anon_0090702,100
anon_0090702,100
anon_0090703,100
anon_0090703,0
anon_0090703,100
anon_0090704,100
anon_0090705,0
anon_0090706,0
anon_0090704,85
anon_0090707,20
anon_0090708,50
anon_0090708,60
anon_0090707,0
anon_0090708,50
anon_0090707,50
anon_0090709,100
anon_0090707,90
anon_0090708,50
anon_0090707,50
anon_0090709,80
anon_0090708,75
anon_0090709,20
anon_0090707,40
anon_0090708,85
anon_0090707,85
anon_0090710,90
anon_0090710,40
anon_0090711,90
anon_0090712,100
anon_0090710,50
anon_0090710,60
anon_0090713,100
anon_0090714,90
anon_0090714,90
anon_0090714,85
anon_0090715,0
anon_0090716,75
anon_0090717,80
anon_0090718,90
anon_0090718,85
anon_0090717,85
anon_0090718,90
anon_0090716,95
anon_0090719,95
anon_0090719,80
anon_0090719,85
anon_0090718,85
anon_0090715,100
anon_0090716,50
anon_0090718,100
anon_0090720,0
anon_0090721,70
anon_0090720,75
anon_0090722,50
anon_0090723,100
anon_0090724,50
anon_0090725,50
anon_0090726,85
anon_0090727,50
anon_0090728,50
anon_0090725,85
anon_0090725,10
anon_0090726,60
anon_0090729,100
anon_0090726,85
anon_0090726,85
anon_0090724,0
anon_0090729,100
anon_0090730,90
anon_0090730,85
anon_0090729,100
anon_0090730,95
anon_0090729,90
anon_0090731,50
anon_0090732,90
anon_0090725,75
anon_0090725,85
anon_0090731,80
anon_0090725,85
anon_0090732,100
anon_0090725,0
anon_0090732,95
anon_0090725,90
anon_0090725,85
anon_0090725,50
anon_0090725,100
anon_0090725,90
anon_0090732,85
anon_0090733,100
anon_0090734,0
anon_0090734,0
anon_0090734,100
anon_0090735,85
anon_0090736,90
anon_0090736,95
anon_0090737,40
anon_0090736,85
anon_0090737,0
anon_0090736,50
anon_0090736,20
anon_0090735,90
anon_0090738,80
anon_0090739,100
anon_0090740,95
anon_0090740,60
anon_0090738,75
anon_0090738,40
anon_0090740,85
anon_0090738,0
anon_0090740,30
anon_0090740,100
anon_0090740,90
anon_0090741,20
anon_0090742,90
anon_0090743,90
anon_0090744,30
anon_0090743,100
anon_0090745,0
anon_0090744,100
anon_0090745,85
anon_0090744,100
anon_0090743,95
anon_0090745,20
anon_0090743,95
anon_0090744,100
anon_0090743,50
anon_0090738,100
anon_0090738,50
anon_0090738,40
anon_0090744,100
anon_0090744,100
anon_0090738,50
anon_0090738,70
anon_0090745,75
anon_0090738,30
anon_0090746,0
anon_0090738,50
anon_0090738,85
anon_0090747,50
anon_0090746,85
anon_0090747,100
anon_0090738,85
anon_0090738,30
anon_0090747,100
anon_0090746,20
anon_0090746,90
anon_0090738,85
anon_0090746,85
anon_0090738,70
anon_0090738,50
anon_0090738,20
anon_0090738,90
anon_0090748,0
anon_0090749,85
anon_0090750,100
anon_0090751,85
anon_0090748,50
anon_0090750,90
anon_0090750,90
anon_0090750,0
anon_0090751,85
anon_0090751,90
anon_0090750,95
anon_0090752,100
anon_0090753,90
anon_0090753,40
anon_0090754,100
anon_0090754,85
anon_0090753,90
anon_0090752,100
anon_0090754,75
anon_0090752,100
anon_0090753,100
anon_0090755,50
anon_0090755,50
anon_0090755,70
anon_0090755,85
anon_0090756,50
anon_0090757,100
anon_0090758,90
anon_0090759,85
anon_0090760,85
anon_0090757,100
anon_0090759,90
anon_0090759,85
anon_0090759,85
anon_0090759,75
anon_0090757,20
anon_0090761,100
anon_0090762,85
anon_0090761,30
anon_0090761,85
anon_0090761,85
anon_0090763,70
anon_0090763,20
anon_0090761,100
anon_0090764,90
anon_0090761,20
anon_0090761,90
anon_0090763,70
anon_0090765,85
anon_0090766,80
anon_0090767,100
anon_0090768,90
anon_0090768,0
anon_0090767,100
anon_0090769,50
anon_0090768,50
anon_0090765,50
anon_0090766,80
anon_0090767,75
anon_0090767,70
anon_0090765,85
anon_0090766,50
anon_0090766,50
anon_0090767,85
anon_0090770,100
anon_0090769,100
anon_0090771,100
anon_0090772,90
anon_0090772,85
anon_0090770,60
anon_0090771,100
anon_0090773,50
anon_0090774,0
anon_0090774,50
anon_0090772,0
anon_0090774,50
anon_0090774,85
anon_0090774,100
anon_0090771,90
anon_0090774,70
anon_0090775,0
anon_0090774,50
anon_0090774,90
anon_0090774,85
anon_0090771,90
anon_0090775,90
anon_0090776,100
anon_0090777,50
anon_0090778,0
anon_0090779,30
anon_0090772,85
anon_0090778,80
anon_0090780,100
anon_0090777,0
anon_0090772,90
anon_0090772,70
anon_0090781,85
anon_0090779,90
anon_0090781,85
anon_0090782,85
anon_0090778,85
anon_0090772,90
anon_0090780,95
anon_0090782,20
anon_0090772,85
anon_0090782,80
anon_0090783,0
anon_0090780,90
anon_0090780,100
anon_0090782,90
anon_0090782,50
anon_0090772,100
anon_0090782,90
anon_0090784,20
anon_0090784,20
anon_0090785,70
anon_0090786,85
anon_0090784,0
anon_0090787,50
anon_0090786,75
anon_0090786,40
anon_0090785,20
anon_0090785,80
anon_0090788,85
anon_0090789,95
anon_0090788,90
anon_0090789,70
anon_0090788,75
anon_0090788,50
anon_0090784,95
anon_0090789,75
anon_0090784,85
anon_0090790,80
anon_0090790,100
anon_0090790,85
anon_0090784,85
anon_0090791,50
anon_0090784,85
anon_0090790,75
anon_0090790,50
anon_0090791,80
anon_0090792,100
anon_0090792,0
anon_0090793,100
anon_0090793,85
anon_0090793,95
anon_0090794,20
anon_0090793,85
anon_0090795,90
anon_0090795,95
anon_0090796,85
anon_0090795,90
anon_0090797,100
anon_0090798,100
anon_0090799,100
anon_0090799,100
anon_0090799,90
anon_0090797,85
anon_0090799,100
anon_0090797,100
anon_0090800,80
anon_0090801,100
anon_0090801,30
anon_0090802,100
anon_0090803,85
anon_0090804,75
anon_0090803,80
anon_0090802,50
anon_0090804,75
anon_0090802,80
anon_0090804,85
anon_0090804,100
anon_0090797,85
anon_0090797,85
anon_0090804,100
anon_0090804,85
anon_0090803,40
anon_0090804,50
anon_0090797,90
anon_0090805,100
anon_0090806,90
anon_0090807,100
anon_0090806,90
anon_0090806,90
anon_0090806,30
anon_0090808,70
anon_0090809,85
anon_0090806,0
anon_0090806,50
anon_0090806,20
anon_0090806,85
anon_0090806,60
anon_0090810,90
anon_0090806,10
anon_0090811,95
anon_0090808,10
anon_0090806,85
anon_0090806,100
anon_0090808,90
anon_0090806,75
anon_0090806,90
anon_0090811,100
anon_0090812,90
anon_0090813,100
anon_0090813,100
anon_0090814,50
anon_0090815,50
anon_0090815,40
anon_0090815,50
anon_0090808,50
anon_0090814,100
anon_0090808,90
anon_0090815,85
anon_0090816,NA
anon_0090815,85
anon_0090814,50
anon_0090814,70
anon_0090812,50
anon_0090808,70
anon_0090808,100
anon_0090808,85
anon_0090814,95
anon_0090815,90
anon_0090808,90
anon_0090808,85
anon_0090812,90
anon_0090808,50
anon_0090816,70
anon_0090817,10
anon_0090818,90
anon_0090819,80
anon_0090818,100
anon_0090818,0
anon_0090812,100
anon_0090820,100
anon_0090819,75
anon_0090817,0
anon_0090818,50
anon_0090818,95
anon_0090818,85
anon_0090812,100
anon_0090820,85
anon_0090817,50
anon_0090820,85
anon_0090812,100
anon_0090818,50
anon_0090817,95
anon_0090821,100
anon_0090822,95
anon_0090823,100
anon_0090821,50
anon_0090824,50
anon_0090821,75
anon_0090825,85
anon_0090821,50
anon_0090824,100
anon_0090825,50
anon_0090821,100
anon_0090821,85
anon_0090821,70
anon_0090821,85
anon_0090825,30
anon_0090825,75
anon_0090825,60
anon_0090821,75
anon_0090821,100
anon_0090825,100
anon_0090826,85
anon_0090827,95
anon_0090828,100
anon_0090828,90
anon_0090826,50
anon_0090829,50
anon_0090829,95
anon_0090827,100
anon_0090829,95
anon_0090828,100
anon_0090828,100
anon_0090826,85
anon_0090827,90
anon_0090830,85
anon_0090827,85
anon_0090827,85
anon_0090827,70
