chat_session_id,veracity_score
anon_0091034,50
anon_0091034,85
anon_0091034,70
anon_0091035,30
anon_0091034,40
anon_0091034,85
anon_0091036,0
anon_0091036,50
anon_0091037,90
anon_0091036,90
anon_0091038,75
anon_0091037,90
anon_0091039,100
anon_0091040,0
anon_0091039,95
anon_0091041,85
anon_0091041,85
anon_0091041,80
anon_0091042,75
anon_0091039,90
anon_0091043,100
anon_0091044,100
anon_0091044,100
anon_0091043,0
anon_0091043,0
anon_0091045,85
anon_0091046,0
anon_0091044,95
anon_0091044,85
anon_0091047,0
anon_0091048,100
anon_0091047,80
anon_0091049,70
anon_0091050,85
anon_0091047,50
anon_0091051,100
anon_0091051,0
anon_0091051,80
anon_0091047,50
anon_0091050,85
anon_0091052,85
anon_0091050,85
anon_0091053,100
anon_0091053,100
anon_0091054,85
anon_0091053,100
anon_0091052,95
anon_0091053,90
anon_0091053,95
anon_0091055,100
anon_0091055,0
anon_0091054,50
anon_0091056,90
anon_0091054,90
anon_0091056,85
anon_0091057,100
anon_0091058,20
anon_0091059,20
anon_0091060,85
anon_0091056,100
anon_0091057,85
anon_0091056,0
anon_0091057,85
anon_0091061,100
anon_0091062,50
anon_0091063,90
anon_0091061,100
anon_0091064,100
anon_0091061,95
anon_0091065,90
anon_0091063,85
anon_0091063,70
anon_0091063,85
anon_0091065,70
anon_0091061,40
anon_0091063,50
anon_0091062,95
anon_0091063,85
anon_0091058,0
anon_0091063,85
anon_0091062,90
anon_0091062,85
anon_0091058,85
anon_0091066,85
anon_0091067,85
anon_0091068,90
anon_0091068,90
anon_0091069,90
anon_0091070,50
anon_0091071,85
anon_0091067,50
anon_0091070,100
anon_0091070,85
anon_0091070,85
anon_0091067,20
anon_0091067,85
anon_0091067,85
anon_0091072,0
anon_0091072,100
anon_0091071,0
anon_0091072,85
anon_0091073,100
anon_0091074,100
anon_0091073,85
anon_0091073,85
anon_0091075,100
anon_0091076,0
anon_0091073,85
anon_0091077,85
anon_0091078,100
anon_0091078,85
anon_0091079,90
anon_0091077,30
anon_0091077,0
anon_0091080,85
anon_0091080,85
anon_0091078,100
anon_0091079,50
anon_0091081,90
anon_0091082,100
anon_0091081,90
anon_0091082,0
anon_0091082,90
anon_0091083,80
anon_0091084,0
anon_0091083,70
anon_0091083,100
anon_0091083,90
anon_0091083,100
anon_0091083,85
anon_0091085,85
anon_0091086,0
anon_0091087,100
anon_0091087,95
anon_0091087,90
anon_0091088,85
anon_0091089,100
anon_0091087,0
anon_0091089,100
anon_0091088,90
anon_0091090,100
anon_0091090,0
anon_0091090,85
anon_0091087,70
anon_0091087,85
anon_0091087,90
anon_0091087,20
anon_0091086,85
anon_0091087,80
anon_0091090,100
anon_0091087,90
anon_0091088,85
anon_0091086,100
anon_0091087,90
anon_0091090,100
anon_0091088,60
anon_0091091,80
anon_0091089,90
anon_0091089,85
anon_0091092,100
anon_0091093,100
anon_0091092,100
anon_0091093,95
anon_0091093,85
anon_0091093,50
anon_0091093,100
anon_0091094,90
anon_0091092,90
anon_0091094,90
anon_0091095,100
anon_0091095,75
anon_0091095,100
anon_0091095,90
anon_0091095,50
anon_0091095,85
anon_0091096,90
anon_0091095,100
anon_0091095,85
anon_0091095,100
anon_0091095,100
anon_0091095,95
anon_0091096,95
anon_0091095,85
anon_0091095,100
anon_0091095,0
anon_0091095,100
anon_0091097,50
anon_0091097,90
anon_0091097,100
anon_0091098,30
anon_0091099,50
anon_0091100,90
anon_0091101,85
anon_0091098,90
anon_0091101,50
anon_0091099,70
anon_0091099,90
anon_0091102,85
anon_0091102,85
anon_0091099,85
anon_0091100,100
anon_0091100,85
anon_0091099,100
anon_0091103,20
anon_0091099,90
anon_0091099,100
anon_0091099,50
anon_0091103,100
anon_0091103,100
anon_0091104,95
anon_0091103,95
anon_0091099,20
anon_0091103,85
anon_0091105,90
anon_0091105,85
anon_0091106,80
anon_0091107,90
anon_0091106,85
anon_0091108,0
anon_0091106,50
anon_0091109,0
anon_0091109,85
anon_0091110,100
anon_0091110,100
anon_0091111,85
anon_0091111,85
anon_0091112,50
anon_0091110,95
anon_0091112,85
anon_0091109,85
anon_0091111,0
anon_0091111,0
anon_0091111,90
anon_0091111,85
anon_0091113,50
anon_0091112,NA
anon_0091112,0
anon_0091113,95
anon_0091111,85
anon_0091113,30
anon_0091111,90
anon_0091113,40
anon_0091111,70
anon_0091111,85
anon_0091113,85
anon_0091114,95
anon_0091115,85
anon_0091115,90
anon_0091116,75
anon_0091116,95
anon_0091115,0
anon_0091116,75
anon_0091117,85
anon_0091116,100
anon_0091118,90
anon_0091119,0
anon_0091120,50
anon_0091116,100
anon_0091118,90
anon_0091119,0
anon_0091119,85
anon_0091121,100
anon_0091116,100
anon_0091116,70
anon_0091119,85
anon_0091116,0
anon_0091120,0
anon_0091119,50
anon_0091116,85
anon_0091122,0
anon_0091123,95
anon_0091124,60
anon_0091124,100
anon_0091125,100
anon_0091124,85
anon_0091125,85
anon_0091123,90
anon_0091124,100
anon_0091126,95
anon_0091127,70
anon_0091124,85
anon_0091124,0
anon_0091128,80
anon_0091129,100
anon_0091124,50
anon_0091129,85
anon_0091129,50
anon_0091129,90
anon_0091129,95
anon_0091130,100
anon_0091129,20
anon_0091128,100
anon_0091130,100
anon_0091124,85
anon_0091130,100
anon_0091128,50
anon_0091130,100
anon_0091128,60
anon_0091130,85
anon_0091130,0
anon_0091131,100
anon_0091131,100
anon_0091130,100
anon_0091131,100
anon_0091130,0
anon_0091132,85
anon_0091133,100
anon_0091134,100
anon_0091133,0
anon_0091134,90
anon_0091135,50
anon_0091132,90
anon_0091136,50
anon_0091136,85
anon_0091136,30
anon_0091136,95
anon_0091136,40
anon_0091137,50
anon_0091133,90
anon_0091133,100
anon_0091133,100
anon_0091134,95
anon_0091138,100
anon_0091138,100
anon_0091139,0
anon_0091134,85
anon_0091140,0
anon_0091141,20
anon_0091141,30
anon_0091140,50
anon_0091141,0
anon_0091141,50
anon_0091140,100
anon_0091141,60
anon_0091140,100
anon_0091140,90
anon_0091141,85
anon_0091141,85
anon_0091138,85
anon_0091141,30
anon_0091136,85
anon_0091141,90
anon_0091142,20
anon_0091143,95
anon_0091144,85
anon_0091144,70
anon_0091139,100
anon_0091144,70
anon_0091139,90
anon_0091145,50
anon_0091139,100
anon_0091146,0
anon_0091147,18
anon_0091147,85
anon_0091146,100
anon_0091147,0
