chat_session_id,veracity_score
anon_0091421,85
anon_0091421,85
anon_0091422,90
anon_0091422,85
anon_0091423,50
anon_0091424,90
anon_0091423,75
anon_0091425,100
anon_0091425,100
anon_0091426,100
anon_0091424,95
anon_0091427,100
anon_0091425,85
anon_0091427,70
anon_0091427,50
anon_0091427,100
anon_0091427,50
anon_0091427,85
anon_0091426,95
anon_0091425,95
anon_0091426,85
anon_0091424,85
anon_0091426,85
anon_0091426,0
anon_0091428,50
anon_0091429,90
anon_0091429,100
anon_0091430,0
anon_0091430,0
anon_0091430,50
anon_0091430,0
anon_0091430,0
anon_0091431,85
anon_0091432,100
anon_0091432,20
anon_0091432,75
anon_0091433,85
anon_0091432,85
anon_0091434,40
anon_0091435,85
anon_0091435,50
anon_0091435,0
anon_0091435,0
anon_0091435,50
anon_0091436,70
anon_0091437,75
anon_0091437,100
anon_0091438,90
anon_0091439,0
anon_0091439,90
anon_0091439,75
anon_0091440,50
anon_0091441,100
anon_0091441,85
anon_0091442,85
anon_0091442,20
anon_0091443,0
anon_0091444,90
anon_0091445,50
anon_0091445,90
anon_0091445,100
anon_0091446,100
anon_0091445,85
anon_0091445,85
anon_0091447,85
anon_0091447,70
anon_0091448,100
anon_0091448,0
anon_0091449,100
anon_0091450,70
anon_0091450,85
anon_0091451,20
anon_0091451,20
anon_0091452,0
anon_0091452,80
anon_0091453,50
anon_0091452,20
anon_0091454,90
anon_0091455,85
anon_0091455,100
anon_0091455,90
anon_0091455,85
anon_0091455,100
anon_0091455,85
anon_0091456,85
anon_0091456,90
anon_0091457,85
anon_0091456,75
anon_0091457,85
anon_0091458,70
anon_0091456,60
anon_0091456,85
anon_0091459,70
anon_0091460,85
anon_0091456,30
anon_0091456,50
anon_0091461,10
anon_0091462,85
anon_0091463,0
anon_0091463,0
anon_0091464,90
anon_0091464,90
anon_0091465,85
anon_0091466,85
anon_0091466,50
anon_0091466,50
anon_0091467,85
anon_0091468,100
anon_0091469,75
anon_0091469,75
anon_0091470,85
anon_0091471,100
anon_0091472,50
anon_0091471,85
anon_0091473,20
anon_0091471,100
anon_0091472,30
anon_0091472,85
anon_0091472,60
anon_0091474,0
anon_0091474,90
anon_0091475,100
anon_0091475,100
anon_0091476,0
anon_0091476,100
anon_0091475,85
anon_0091477,100
anon_0091478,100
anon_0091477,90
anon_0091478,70
anon_0091479,85
anon_0091480,40
anon_0091481,20
anon_0091482,70
anon_0091483,85
anon_0091484,85
anon_0091485,95
anon_0091485,85
anon_0091481,85
anon_0091484,100
anon_0091486,90
anon_0091484,90
anon_0091484,90
anon_0091486,0
anon_0091484,85
anon_0091484,90
anon_0091484,85
anon_0091484,30
anon_0091487,100
anon_0091487,20
anon_0091487,20
anon_0091488,85
anon_0091489,75
anon_0091490,100
anon_0091490,80
anon_0091489,100
anon_0091491,90
anon_0091492,100
anon_0091493,100
anon_0091493,100
anon_0091494,100
anon_0091495,100
anon_0091495,50
anon_0091496,100
anon_0091497,100
anon_0091497,100
anon_0091497,90
anon_0091497,100
anon_0091497,80
anon_0091497,100
anon_0091498,85
anon_0091499,90
anon_0091499,100
anon_0091499,90
anon_0091499,95
anon_0091496,20
anon_0091500,30
anon_0091501,90
anon_0091501,100
anon_0091502,30
anon_0091503,50
anon_0091504,0
anon_0091505,85
anon_0091505,90
anon_0091506,0
anon_0091507,100
anon_0091508,100
anon_0091506,20
anon_0091507,85
anon_0091509,50
anon_0091510,80
anon_0091511,100
anon_0091512,100
anon_0091511,0
anon_0091511,85
anon_0091511,20
anon_0091513,0
anon_0091514,85
anon_0091515,100
anon_0091514,85
anon_0091514,70
anon_0091514,50
anon_0091514,0
anon_0091516,60
anon_0091517,85
anon_0091518,50
anon_0091518,50
anon_0091519,0
anon_0091519,50
anon_0091520,100
anon_0091520,85
anon_0091521,0
anon_0091521,85
anon_0091521,50
anon_0091521,0
anon_0091522,85
anon_0091523,100
anon_0091524,85
anon_0091524,75
anon_0091524,75
anon_0091525,0
anon_0091525,100
anon_0091525,0
anon_0091526,80
anon_0091526,90
anon_0091527,85
anon_0091528,0
anon_0091527,100
anon_0091527,90
anon_0091529,0
anon_0091530,90
anon_0091531,80
anon_0091532,0
anon_0091533,100
anon_0091533,50
anon_0091534,90
anon_0091535,100
anon_0091534,50
anon_0091534,0
anon_0091536,0
anon_0091534,90
anon_0091536,0
anon_0091536,85
anon_0091537,100
anon_0091538,100
anon_0091538,20
anon_0091539,100
anon_0091539,85
anon_0091538,90
anon_0091540,0
anon_0091541,50
anon_0091542,85
anon_0091541,20
anon_0091542,50
anon_0091543,70
anon_0091544,100
anon_0091545,90
anon_0091543,100
anon_0091546,50
anon_0091546,50
anon_0091543,20
anon_0091546,50
anon_0091547,95
anon_0091548,70
anon_0091548,90
anon_0091549,20
anon_0091549,75
anon_0091549,50
anon_0091549,0
anon_0091549,0
anon_0091550,100
anon_0091550,90
anon_0091549,0
anon_0091551,50
anon_0091552,0
anon_0091553,20
anon_0091554,100
anon_0091553,90
anon_0091554,0
anon_0091552,85
anon_0091551,80
anon_0091555,50
anon_0091555,80
anon_0091556,85
anon_0091557,0
anon_0091555,50
anon_0091558,100
anon_0091559,90
anon_0091560,85
anon_0091561,0
anon_0091559,90
anon_0091562,85
anon_0091562,95
anon_0091563,0
anon_0091562,90
anon_0091562,90
anon_0091562,0
anon_0091563,85
anon_0091562,50
anon_0091562,100
anon_0091562,100
anon_0091562,0
anon_0091564,90
anon_0091565,85
anon_0091565,85
anon_0091566,50
anon_0091565,50
anon_0091564,85
anon_0091565,70
anon_0091567,95
anon_0091568,50
anon_0091564,85
anon_0091564,75
anon_0091569,80
anon_0091568,10
anon_0091570,100
anon_0091569,75
anon_0091570,85
anon_0091569,80
anon_0091571,85
anon_0091572,90
anon_0091572,20
anon_0091572,90
anon_0091572,90
anon_0091573,100
anon_0091573,20
anon_0091574,90
anon_0091573,0
anon_0091573,100
anon_0091574,50
anon_0091573,50
anon_0091575,50
anon_0091575,85
anon_0091575,60
anon_0091576,50
anon_0091576,50
anon_0091577,100
anon_0091578,95
anon_0091579,20
anon_0091577,85
anon_0091577,90
anon_0091579,50
anon_0091580,85
anon_0091580,100
anon_0091581,90
anon_0091581,90
anon_0091582,100
anon_0091583,100
anon_0091584,100
anon_0091582,50
anon_0091584,85
anon_0091584,100
anon_0091585,100
anon_0091586,90
anon_0091587,70
anon_0091586,70
anon_0091588,0
anon_0091588,0
anon_0091588,50
anon_0091589,90
anon_0091590,90
anon_0091591,20
anon_0091592,100
anon_0091593,100
