chat_session_id,veracity_score
anon_0066129,0
anon_0066157,100
anon_0066157,100
anon_0066177,0
anon_0066177,0
anon_0066157,100
anon_0066166,85
anon_0066109,50
anon_0066160,0
anon_0066114,100
anon_0066129,0
anon_0066129,100
anon_0066177,0
anon_0066157,0
anon_0066109,85
anon_0066192,90
anon_0066114,100
anon_0066177,0
anon_0066192,100
anon_0066158,85
anon_0066114,50
anon_0066114,100
anon_0066129,0
anon_0066129,100
anon_0066114,90
anon_0066157,90
anon_0066129,0
anon_0066109,100
anon_0066114,0
anon_0066158,100
anon_0066114,90
anon_0066114,100
anon_0066166,85
anon_0066158,85
anon_0066177,85
anon_0066158,100
anon_0066156,0
anon_0066158,100
anon_0066109,0
anon_0066129,90
anon_0066160,50
anon_0066114,85
anon_0066129,70
anon_0066129,0
anon_0066157,80
anon_0066166,0
anon_0066160,0
anon_0066109,95
anon_0066114,85
anon_0066160,85
anon_0066166,85
anon_0066129,0
anon_0066160,75
anon_0066157,100
anon_0066114,50
anon_0066158,0
anon_0066158,80
anon_0066114,100
anon_0066156,100
anon_0066129,85
anon_0066158,0
anon_0066166,85
anon_0066158,100
anon_0066114,100
anon_0066166,0
anon_0066192,85
anon_0066192,85
anon_0066160,85
anon_0066129,0
anon_0066114,90
anon_0066114,85
anon_0066114,90
anon_0066158,90
anon_0066114,95
anon_0066114,85
anon_0066158,100
anon_0066129,0
anon_0066129,85
anon_0066129,0
anon_0066129,0
anon_0066166,0
anon_0066158,90
anon_0066129,85
anon_0066129,85
anon_0066114,0
anon_0066158,100
anon_0066129,100
anon_0066114,85
anon_0066158,100
anon_0066166,85
anon_0066158,100
anon_0066158,85
anon_0066109,90
anon_0066156,50
anon_0066109,95
anon_0066166,85
anon_0066158,30
anon_0066158,100
anon_0066114,0
anon_0066157,0
anon_0066160,50
anon_0066109,95
anon_0066109,90
anon_0066114,85
anon_0066157,0
anon_0066109,100
anon_0066109,85
anon_0066129,0
anon_0066157,0
anon_0066109,95
anon_0066157,70
anon_0066192,85
anon_0066109,90
anon_0066166,0
anon_0066114,100
anon_0066114,100
anon_0066158,85
anon_0066109,100
anon_0066166,20
anon_0066158,90
anon_0066160,50
anon_0066192,90
anon_0066158,50
anon_0066129,100
anon_0066129,0
anon_0066109,100
anon_0066160,0
anon_0066160,0
anon_0066109,85
anon_0066129,90
anon_0066109,50
anon_0066114,80
