chat_session_id,veracity_score
anon_0066112,100
anon_0066176,0
anon_0066154,100
anon_0066112,90
anon_0066176,0
anon_0066145,0
anon_0066154,100
anon_0066112,0
anon_0066112,75
anon_0066176,0
anon_0066145,0
anon_0066176,0
anon_0066154,0
anon_0066112,50
anon_0066112,85
anon_0066154,50
anon_0066112,50
anon_0066145,0
anon_0066176,0
anon_0066176,0
anon_0066176,0
anon_0066154,0
anon_0066154,0
anon_0066145,0
anon_0066112,100
anon_0066176,0
anon_0066194,100
anon_0066176,0
anon_0066176,0
anon_0066112,50
anon_0066176,0
anon_0066112,0
anon_0066154,0
anon_0066112,0
anon_0066154,100
anon_0066187,0
anon_0066112,0
anon_0066154,30
anon_0066112,0
anon_0066154,50
anon_0066112,0
anon_0066112,0
anon_0066145,85
anon_0066145,0
anon_0066154,85
anon_0066112,0
anon_0066112,50
anon_0066146,100
anon_0066154,0
anon_0066112,90
anon_0066194,100
anon_0066194,0
anon_0066187,100
anon_0066145,85
anon_0066145,0
anon_0066112,50
anon_0066145,85
anon_0066112,75
anon_0066112,100
anon_0066145,75
anon_0066112,0
anon_0066145,0
anon_0066112,30
anon_0066145,60
anon_0066112,90
anon_0066154,75
anon_0066112,50
anon_0066194,0
anon_0066187,0
anon_0066154,50
anon_0066112,30
anon_0066187,50
anon_0066112,60
anon_0066112,90
anon_0066112,0
anon_0066194,20
anon_0066194,0
anon_0066146,0
anon_0066146,75
anon_0066187,0
anon_0066112,20
anon_0066112,0
anon_0066194,0
anon_0066112,0
anon_0066194,0
anon_0066112,50
anon_0066194,90
anon_0066194,100
anon_0066194,90
anon_0066194,85
anon_0066112,100
anon_0066112,85
anon_0066194,85
anon_0066187,85
anon_0066194,100
anon_0066176,20
anon_0066112,0
anon_0066194,0
anon_0066112,85
anon_0066112,0
anon_0066176,0
anon_0066154,85
anon_0066154,0
anon_0066176,NA
anon_0066195,100
anon_0066194,100
anon_0066112,0
anon_0066154,NA
anon_0066146,0
anon_0066112,0
anon_0066154,0
anon_0066154,50
anon_0066154,0
anon_0066146,0
anon_0066112,0
anon_0066154,0
anon_0066146,0
anon_0066112,0
anon_0066194,75
anon_0066194,100
anon_0066195,100
anon_0066194,100
anon_0066146,0
anon_0066194,85
anon_0066195,50
anon_0066112,0
anon_0066194,85
anon_0066176,0
anon_0066176,0
anon_0066195,90
anon_0066146,50
anon_0066194,0
anon_0066194,0
anon_0066194,85
anon_0066154,0
anon_0066194,0
anon_0066194,85
anon_0066112,0
anon_0066146,50
anon_0066154,85
anon_0066154,0
anon_0066146,85
anon_0066146,50
anon_0066112,0
anon_0066112,80
anon_0066146,50
anon_0066146,50
anon_0066194,90
anon_0066146,0
anon_0066154,50
anon_0066195,0
anon_0066146,0
anon_0066194,20
anon_0066194,90
anon_0066176,0
anon_0066146,0
anon_0066195,0
anon_0066194,95
anon_0066176,NA
anon_0066195,0
anon_0066112,0
anon_0066194,75
anon_0066146,85
anon_0066146,0
anon_0066146,50
anon_0066146,0
anon_0066146,0
anon_0066195,0
anon_0066195,0
anon_0066194,100
anon_0066146,0
anon_0066176,0
anon_0066146,0
anon_0066146,30
anon_0066146,30
anon_0066194,100
anon_0066112,NA
anon_0066146,30
anon_0066146,100
anon_0066194,0
anon_0066194,90
anon_0066146,0
anon_0066176,0
anon_0066146,95
anon_0066112,20
anon_0066146,50
anon_0066195,70
anon_0066146,95
anon_0066194,0
anon_0066146,90
anon_0066146,85
anon_0066146,85
anon_0066195,50
anon_0066146,90
anon_0066194,85
anon_0066112,70
anon_0066146,50
anon_0066146,30
anon_0066146,100
anon_0066146,0
anon_0066194,85
anon_0066194,85
anon_0066112,0
anon_0066194,90
anon_0066146,0
anon_0066195,85
anon_0066146,0
anon_0066146,50
anon_0066146,20
anon_0066146,0
anon_0066194,0
anon_0066154,0
anon_0066194,85
anon_0066146,85
anon_0066194,0
anon_0066194,50
anon_0066194,90
anon_0066146,50
anon_0066146,85
anon_0066146,100
anon_0066146,0
anon_0066146,0
anon_0066187,85
anon_0066146,0
anon_0066154,0
anon_0066154,50
anon_0066154,0
anon_0066194,0
anon_0066112,0
anon_0066154,0
anon_0066146,0
anon_0066146,50
anon_0066187,50
anon_0066154,0
anon_0066146,0
anon_0066145,0
anon_0066146,0
anon_0066146,75
anon_0066146,50
anon_0066176,0
anon_0066194,0
anon_0066145,0
anon_0066187,50
anon_0066194,0
anon_0066194,0
anon_0066194,85
anon_0066176,0
anon_0066145,50
anon_0066194,85
anon_0066195,100
anon_0066194,0
anon_0066194,75
anon_0066176,0
anon_0066194,0
anon_0066187,0
anon_0066146,0
anon_0066154,0
anon_0066146,90
anon_0066195,0
anon_0066187,0
anon_0066187,50
anon_0066195,50
anon_0066146,50
anon_0066194,50
anon_0066146,85
anon_0066146,85
anon_0066146,0
anon_0066195,70
anon_0066187,0
anon_0066146,90
anon_0066195,70
anon_0066187,85
anon_0066146,0
anon_0066187,10
anon_0066146,0
anon_0066146,0
anon_0066146,95
anon_0066187,0
anon_0066145,0
anon_0066176,0
anon_0066145,85
anon_0066154,100
anon_0066194,50
anon_0066146,0
anon_0066176,0
anon_0066195,0
anon_0066187,0
anon_0066146,80
anon_0066176,0
anon_0066194,50
anon_0066194,50
anon_0066146,0
anon_0066187,0
anon_0066146,0
anon_0066195,50
anon_0066195,50
anon_0066146,95
anon_0066145,50
anon_0066146,0
anon_0066176,0
anon_0066146,50
anon_0066195,50
anon_0066146,50
anon_0066146,85
anon_0066146,90
anon_0066187,0
anon_0066187,90
anon_0066146,0
anon_0066176,0
anon_0066176,0
anon_0066187,50
anon_0066176,0
anon_0066146,0
anon_0066146,85
anon_0066146,0
anon_0066146,0
anon_0066146,0
anon_0066146,0
anon_0066146,30
anon_0066176,0
anon_0066146,85
anon_0066146,85
anon_0066187,0
anon_0066146,85
anon_0066146,0
anon_0066146,85
anon_0066187,85
anon_0066176,0
anon_0066176,0
anon_0066195,40
anon_0066176,NA
anon_0066146,0
anon_0066146,50
anon_0066176,0
anon_0066176,0
anon_0066242,100
anon_0066226,0
anon_0066226,0
anon_0066226,0
anon_0066226,0
anon_0066226,50
anon_0066176,0
anon_0066226,0
anon_0066226,0
anon_0066176,0
anon_0066236,0
anon_0066234,90
anon_0066176,0
anon_0066236,50
anon_0066234,70
anon_0066176,0
anon_0066176,50
anon_0066236,0
anon_0066176,0
anon_0066234,0
anon_0066176,0
anon_0066243,0
anon_0066236,100
anon_0066242,NA
anon_0066236,0
anon_0066234,0
anon_0066242,85
anon_0066176,0
anon_0066236,85
anon_0066236,85
anon_0066226,0
anon_0066243,70
anon_0066251,0
anon_0066234,0
anon_0066236,0
anon_0066234,100
anon_0066236,100
anon_0066234,0
anon_0066226,0
anon_0066242,0
anon_0066234,100
anon_0066251,0
anon_0066236,0
anon_0066242,0
anon_0066236,0
anon_0066251,0
anon_0066236,0
anon_0066234,90
anon_0066243,0
anon_0066176,0
anon_0066234,85
anon_0066243,0
anon_0066236,0
anon_0066242,30
anon_0066243,30
anon_0066242,85
anon_0066243,0
anon_0066242,90
anon_0066242,0
anon_0066243,10
anon_0066251,85
anon_0066243,NA
anon_0066234,50
anon_0066243,0
anon_0066247,NA
anon_0066243,0
anon_0066243,0
anon_0066236,0
anon_0066176,0
anon_0066236,0
anon_0066243,0
anon_0066234,0
anon_0066243,0
anon_0066247,0
anon_0066236,0
anon_0066176,0
anon_0066247,0
anon_0066242,85
anon_0066234,85
anon_0066176,0
anon_0066176,0
anon_0066243,0
anon_0066247,0
anon_0066247,0
anon_0066243,0
anon_0066236,0
anon_0066243,0
anon_0066247,0
anon_0066176,0
anon_0066176,0
anon_0066236,0
anon_0066247,85
anon_0066234,0
anon_0066242,85
anon_0066242,0
anon_0066226,100
anon_0066247,50
anon_0066236,0
anon_0066243,85
anon_0066226,0
anon_0066242,0
anon_0066226,0
anon_0066243,95
anon_0066234,50
anon_0066234,0
anon_0066176,50
anon_0066243,0
anon_0066236,0
anon_0066247,50
anon_0066247,0
anon_0066234,95
anon_0066226,0
anon_0066234,85
anon_0066251,0
anon_0066226,0
anon_0066247,50
anon_0066236,0
anon_0066226,100
anon_0066242,85
anon_0066226,0
anon_0066247,0
anon_0066243,0
anon_0066234,0
anon_0066247,0
anon_0066226,0
anon_0066251,0
anon_0066247,30
anon_0066242,50
anon_0066251,NA
anon_0066234,0
anon_0066234,0
anon_0066234,70
anon_0066236,0
anon_0066226,85
anon_0066251,50
anon_0066236,0
anon_0066234,100
anon_0066251,70
anon_0066242,0
anon_0066247,50
anon_0066247,0
anon_0066242,0
anon_0066226,50
anon_0066226,0
anon_0066226,0
anon_0066247,50
anon_0066242,0
anon_0066176,0
anon_0066247,0
anon_0066247,0
anon_0066176,0
anon_0066176,0
anon_0066247,0
anon_0066226,0
anon_0066234,85
anon_0066247,0
anon_0066242,0
anon_0066251,85
anon_0066247,0
anon_0066251,0
anon_0066236,0
anon_0066226,0
anon_0066251,85
anon_0066247,0
anon_0066176,0
anon_0066226,50
anon_0066236,0
anon_0066251,95
anon_0066242,0
anon_0066247,0
anon_0066226,50
anon_0066236,0
anon_0066251,0
anon_0066247,0
anon_0066176,0
anon_0066236,0
anon_0066251,0
anon_0066236,0
anon_0066242,50
anon_0066236,0
