chat_session_id,veracity_score
anon_0066121,100
anon_0066144,100
anon_0066144,100
anon_0066200,0
anon_0066121,100
anon_0066209,90
anon_0066121,85
anon_0066127,0
anon_0066127,85
anon_0066126,100
anon_0066144,0
anon_0066144,0
anon_0066121,100
anon_0066224,100
anon_0066209,90
anon_0066221,100
anon_0066125,0
anon_0066121,90
anon_0066127,95
anon_0066126,100
anon_0066121,85
anon_0066121,85
anon_0066221,100
anon_0066209,90
anon_0066125,100
anon_0066224,100
anon_0066209,85
anon_0066209,100
anon_0066125,100
anon_0066125,95
anon_0066221,100
anon_0066209,85
anon_0066121,90
anon_0066224,95
anon_0066121,100
anon_0066127,85
anon_0066144,90
anon_0066127,60
anon_0066200,0
anon_0066221,85
anon_0066209,100
anon_0066224,100
anon_0066209,85
anon_0066209,100
anon_0066209,90
anon_0066224,100
anon_0066209,90
anon_0066121,100
anon_0066221,80
anon_0066121,90
anon_0066121,90
anon_0066121,95
anon_0066125,90
anon_0066126,85
anon_0066221,75
anon_0066221,100
anon_0066125,100
anon_0066221,100
anon_0066125,0
anon_0066121,100
anon_0066126,50
anon_0066221,100
anon_0066126,85
anon_0066121,100
anon_0066200,100
anon_0066121,85
anon_0066121,95
anon_0066144,85
anon_0066125,85
anon_0066200,85
anon_0066125,0
anon_0066127,95
anon_0066127,85
anon_0066126,85
anon_0066144,85
anon_0066127,0
anon_0066121,95
anon_0066127,50
anon_0066126,90
anon_0066224,95
anon_0066126,50
anon_0066125,50
anon_0066221,85
anon_0066200,50
anon_0066126,100
anon_0066209,100
anon_0066144,100
anon_0066121,90
anon_0066127,60
anon_0066221,85
anon_0066127,90
anon_0066125,85
anon_0066127,85
anon_0066126,90
anon_0066127,90
anon_0066121,90
anon_0066200,85
anon_0066126,100
anon_0066221,100
anon_0066144,90
anon_0066126,90
anon_0066125,90
anon_0066125,0
anon_0066125,50
anon_0066200,85
anon_0066126,90
anon_0066144,85
anon_0066126,100
anon_0066127,95
anon_0066221,100
anon_0066126,100
anon_0066144,50
anon_0066126,0
anon_0066126,100
anon_0066126,0
anon_0066200,90
anon_0066221,95
anon_0066209,90
anon_0066200,100
anon_0066126,100
anon_0066221,85
anon_0066221,85
anon_0066209,100
anon_0066126,95
anon_0066126,100
anon_0066221,100
anon_0066126,100
anon_0066144,95
anon_0066126,100
anon_0066221,100
anon_0066121,NA
anon_0066126,50
anon_0066144,90
anon_0066144,85
anon_0066126,90
anon_0066126,80
anon_0066221,90
anon_0066221,100
