chat_session_id,veracity_score
anon_0091601,85
anon_0091601,0
anon_0091602,50
anon_0091603,95
anon_0091604,0
anon_0091604,90
anon_0091605,50
anon_0091606,0
anon_0091607,85
anon_0091601,0
anon_0091608,60
anon_0091609,75
anon_0091607,100
anon_0091601,100
anon_0091608,90
anon_0091605,85
anon_0091608,90
anon_0091607,95
anon_0091601,90
anon_0091609,100
anon_0091601,85
anon_0091602,85
anon_0091605,85
anon_0091610,90
anon_0091609,95
anon_0091610,85
anon_0091601,0
anon_0091611,85
anon_0091601,50
anon_0091608,90
anon_0091609,80
anon_0091607,90
anon_0091606,0
anon_0091608,60
anon_0091608,0
anon_0091608,0
anon_0091608,85
anon_0091603,30
anon_0091605,85
anon_0091605,100
anon_0091608,75
anon_0091612,85
anon_0091607,70
anon_0091607,100
anon_0091606,0
anon_0091612,85
anon_0091610,0
anon_0091605,50
anon_0091610,90
anon_0091613,30
anon_0091605,100
anon_0091614,90
anon_0091602,100
anon_0091615,100
anon_0091616,100
anon_0091613,50
anon_0091617,90
anon_0091618,100
anon_0091616,100
anon_0091619,100
anon_0091620,30
anon_0091605,100
anon_0091617,100
anon_0091621,90
anon_0091607,85
anon_0091621,85
anon_0091613,50
anon_0091607,100
anon_0091615,10
anon_0091602,90
anon_0091619,100
anon_0091619,50
anon_0091622,0
anon_0091617,80
anon_0091602,100
anon_0091614,100
anon_0091602,100
anon_0091616,85
anon_0091617,70
anon_0091621,100
anon_0091618,0
anon_0091616,100
anon_0091621,85
anon_0091621,85
anon_0091621,0
anon_0091621,85
anon_0091602,90
anon_0091614,85
anon_0091617,50
anon_0091619,100
anon_0091623,50
anon_0091613,0
anon_0091614,100
anon_0091619,50
anon_0091624,90
anon_0091625,85
anon_0091618,0
anon_0091626,85
anon_0091623,85
anon_0091627,85
anon_0091626,20
anon_0091619,100
anon_0091627,0
anon_0091626,100
anon_0091627,50
anon_0091624,85
anon_0091628,85
anon_0091626,95
anon_0091613,85
anon_0091625,85
anon_0091629,100
anon_0091605,90
anon_0091616,85
anon_0091629,95
anon_0091605,90
anon_0091626,40
anon_0091629,100
anon_0091616,95
anon_0091616,70
anon_0091616,50
anon_0091626,0
anon_0091614,20
anon_0091616,85
anon_0091627,85
anon_0091614,70
anon_0091630,100
anon_0091629,100
anon_0091625,50
anon_0091630,100
anon_0091627,90
anon_0091631,20
anon_0091631,100
anon_0091625,85
anon_0091632,85
anon_0091627,50
anon_0091631,0
anon_0091627,100
anon_0091631,90
anon_0091633,0
anon_0091631,100
anon_0091627,50
anon_0091629,100
anon_0091627,0
anon_0091625,70
anon_0091633,90
anon_0091633,50
anon_0091634,85
anon_0091625,85
anon_0091634,50
anon_0091627,100
anon_0091627,50
anon_0091627,30
anon_0091627,100
anon_0091634,85
anon_0091625,100
anon_0091627,40
anon_0091627,40
anon_0091635,85
anon_0091633,50
anon_0091634,95
anon_0091631,0
anon_0091630,0
anon_0091627,30
anon_0091631,100
anon_0091631,70
anon_0091631,20
anon_0091633,0
anon_0091633,0
anon_0091631,50
anon_0091627,10
anon_0091633,50
anon_0091633,20
anon_0091636,100
anon_0091637,90
anon_0091638,0
anon_0091635,0
anon_0091639,100
anon_0091636,100
anon_0091640,100
anon_0091641,50
anon_0091637,100
anon_0091639,100
anon_0091625,95
anon_0091639,100
anon_0091642,100
anon_0091640,85
anon_0091632,50
anon_0091640,0
anon_0091642,100
anon_0091642,85
anon_0091625,90
anon_0091642,50
anon_0091625,80
anon_0091639,85
anon_0091641,50
anon_0091643,85
anon_0091644,50
anon_0091638,0
anon_0091645,100
anon_0091646,0
anon_0091645,100
anon_0091647,70
anon_0091627,60
anon_0091648,100
anon_0091648,100
anon_0091645,0
anon_0091649,85
anon_0091650,0
anon_0091645,70
