chat_session_id,veracity_score
anon_0066246,100
anon_0066201,100
anon_0066193,0
anon_0066182,0
anon_0066250,100
anon_0066250,0
anon_0066117,85
anon_0066229,85
anon_0066258,100
anon_0066201,0
anon_0066117,100
anon_0066162,100
anon_0066246,0
anon_0066201,0
anon_0066162,100
anon_0066229,100
anon_0066162,70
anon_0066149,85
anon_0066162,0
anon_0066252,100
anon_0066252,100
anon_0066193,0
anon_0066246,0
anon_0066193,100
anon_0066229,0
anon_0066246,100
anon_0066149,90
anon_0066182,95
anon_0066250,100
anon_0066162,100
anon_0066229,0
anon_0066149,100
anon_0066193,100
anon_0066193,0
anon_0066117,100
anon_0066229,0
anon_0066117,85
anon_0066162,90
anon_0066193,90
anon_0066182,95
anon_0066117,100
anon_0066117,0
anon_0066117,90
anon_0066182,85
anon_0066229,0
anon_0066246,85
anon_0066117,50
anon_0066117,90
anon_0066149,90
anon_0066117,0
anon_0066193,90
anon_0066193,0
anon_0066162,85
anon_0066252,50
anon_0066117,85
anon_0066246,85
anon_0066201,50
anon_0066117,100
anon_0066149,100
anon_0066193,90
anon_0066117,0
anon_0066162,0
anon_0066149,85
anon_0066246,85
anon_0066117,0
anon_0066246,85
anon_0066117,100
anon_0066193,85
anon_0066117,100
anon_0066117,85
anon_0066201,90
anon_0066193,90
anon_0066193,70
anon_0066117,85
anon_0066229,95
anon_0066117,95
anon_0066117,50
anon_0066149,100
anon_0066149,85
anon_0066149,0
anon_0066258,90
anon_0066117,85
anon_0066149,100
anon_0066182,100
anon_0066193,85
anon_0066117,100
anon_0066252,85
anon_0066182,90
anon_0066162,40
anon_0066117,90
anon_0066182,0
anon_0066193,100
anon_0066182,100
anon_0066117,85
anon_0066117,100
anon_0066117,80
anon_0066162,90
anon_0066182,100
anon_0066117,90
anon_0066117,90
anon_0066246,90
anon_0066149,95
anon_0066149,50
anon_0066117,50
anon_0066117,100
anon_0066117,100
anon_0066117,90
anon_0066182,95
anon_0066149,100
anon_0066149,0
anon_0066182,100
anon_0066149,90
anon_0066149,85
anon_0066149,90
anon_0066182,90
anon_0066149,100
anon_0066149,100
anon_0066182,50
anon_0066182,100
anon_0066182,90
anon_0066201,0
anon_0066361,0
anon_0066246,0
anon_0066229,0
anon_0066246,85
anon_0066361,70
anon_0066299,100
anon_0066299,0
anon_0066287,90
anon_0066299,50
anon_0066258,85
anon_0066229,0
anon_0066287,100
anon_0066299,100
anon_0066299,0
anon_0066299,85
anon_0066117,0
anon_0066287,100
anon_0066330,85
anon_0066229,50
anon_0066258,95
anon_0066355,0
anon_0066258,0
anon_0066229,85
anon_0066258,50
anon_0066299,85
anon_0066361,100
anon_0066361,85
anon_0066229,0
anon_0066287,0
anon_0066287,0
anon_0066355,0
anon_0066330,95
anon_0066252,50
anon_0066229,85
anon_0066383,0
anon_0066252,100
anon_0066330,90
anon_0066229,0
anon_0066117,50
anon_0066330,100
anon_0066355,0
anon_0066299,85
anon_0066383,90
anon_0066330,100
anon_0066330,85
anon_0066229,0
anon_0066330,0
anon_0066355,0
anon_0066229,0
anon_0066258,85
anon_0066252,0
anon_0066330,90
anon_0066258,85
anon_0066258,85
anon_0066229,0
anon_0066287,90
anon_0066246,85
anon_0066287,100
anon_0066299,85
anon_0066299,85
anon_0066367,0
anon_0066258,50
anon_0066258,0
anon_0066361,85
anon_0066246,85
anon_0066383,100
anon_0066287,0
anon_0066287,85
anon_0066258,95
anon_0066360,85
anon_0066287,100
anon_0066287,0
anon_0066287,100
anon_0066287,70
anon_0066287,85
anon_0066330,50
anon_0066330,90
anon_0066355,90
anon_0066355,85
anon_0066287,50
anon_0066360,85
anon_0066330,85
anon_0066360,0
anon_0066360,85
anon_0066258,90
anon_0066355,0
anon_0066252,100
anon_0066246,50
anon_0066355,100
