chat_session_id,veracity_score
anon_0066107,100
anon_0066108,0
anon_0066124,0
anon_0066138,100
anon_0066130,90
anon_0066108,90
anon_0066124,0
anon_0066108,0
anon_0066107,0
anon_0066130,85
anon_0066122,100
anon_0066108,50
anon_0066111,0
anon_0066111,0
anon_0066122,90
anon_0066107,50
anon_0066124,0
anon_0066130,0
anon_0066124,0
anon_0066142,85
anon_0066122,100
anon_0066113,0
anon_0066124,0
anon_0066108,0
anon_0066122,100
anon_0066113,0
anon_0066113,0
anon_0066113,0
anon_0066138,0
anon_0066142,0
anon_0066111,40
anon_0066113,0
anon_0066108,0
anon_0066107,70
anon_0066107,50
anon_0066122,100
anon_0066113,90
anon_0066130,100
anon_0066142,0
anon_0066107,80
anon_0066113,0
anon_0066113,0
anon_0066138,85
anon_0066111,0
anon_0066130,85
anon_0066111,0
anon_0066113,0
anon_0066113,50
anon_0066111,0
anon_0066111,0
anon_0066130,85
anon_0066142,85
anon_0066122,0
anon_0066124,0
anon_0066107,100
anon_0066113,0
anon_0066111,0
anon_0066113,0
anon_0066111,0
anon_0066130,90
anon_0066142,0
anon_0066138,0
anon_0066113,0
anon_0066122,0
anon_0066130,45
anon_0066138,100
anon_0066130,0
anon_0066111,0
anon_0066107,0
anon_0066107,0
anon_0066107,0
anon_0066113,0
anon_0066138,100
anon_0066122,100
anon_0066113,0
anon_0066111,75
anon_0066138,0
anon_0066111,0
anon_0066113,0
anon_0066113,20
anon_0066122,0
anon_0066111,30
anon_0066113,50
anon_0066113,50
anon_0066130,50
anon_0066107,0
anon_0066142,0
anon_0066130,0
anon_0066122,0
anon_0066130,85
anon_0066113,0
anon_0066107,0
anon_0066122,85
anon_0066111,0
anon_0066108,30
anon_0066113,30
anon_0066138,0
anon_0066107,0
anon_0066130,100
anon_0066113,0
anon_0066111,0
anon_0066142,0
anon_0066108,0
anon_0066108,0
anon_0066108,85
anon_0066113,0
anon_0066107,0
anon_0066111,0
anon_0066124,0
anon_0066130,100
anon_0066138,50
anon_0066142,0
anon_0066138,75
anon_0066108,0
anon_0066107,100
anon_0066108,90
anon_0066107,0
anon_0066124,0
anon_0066130,50
anon_0066130,0
anon_0066138,85
anon_0066113,0
anon_0066130,0
anon_0066111,30
anon_0066130,85
anon_0066113,0
anon_0066113,0
anon_0066107,0
anon_0066111,0
anon_0066108,50
anon_0066108,95
anon_0066111,30
anon_0066130,0
anon_0066107,50
anon_0066111,0
anon_0066111,0
anon_0066113,0
anon_0066108,0
anon_0066138,85
anon_0066108,80
anon_0066107,50
anon_0066113,50
anon_0066108,50
anon_0066107,20
anon_0066130,85
anon_0066130,100
anon_0066108,60
anon_0066113,0
anon_0066107,50
anon_0066138,100
anon_0066130,100
anon_0066108,0
anon_0066108,90
anon_0066124,0
anon_0066142,0
anon_0066108,0
anon_0066108,95
anon_0066108,0
anon_0066111,50
anon_0066111,50
anon_0066111,0
anon_0066122,100
anon_0066130,85
anon_0066108,85
anon_0066130,80
anon_0066138,0
anon_0066130,100
anon_0066122,100
anon_0066228,0
anon_0066122,0
anon_0066113,0
anon_0066122,0
anon_0066175,0
anon_0066142,0
anon_0066142,30
anon_0066220,0
anon_0066216,0
anon_0066122,90
anon_0066142,0
anon_0066170,100
anon_0066122,50
anon_0066142,50
anon_0066175,0
anon_0066142,0
anon_0066122,0
anon_0066175,50
anon_0066216,0
anon_0066170,0
anon_0066142,0
anon_0066175,100
anon_0066220,0
anon_0066122,0
anon_0066170,0
anon_0066142,0
anon_0066122,85
anon_0066175,0
anon_0066142,0
anon_0066130,80
anon_0066113,0
anon_0066122,50
anon_0066196,85
anon_0066216,0
anon_0066142,0
anon_0066142,0
anon_0066142,0
anon_0066122,0
anon_0066142,0
anon_0066170,100
anon_0066170,90
anon_0066170,100
anon_0066196,0
anon_0066175,50
anon_0066175,0
anon_0066122,50
anon_0066196,0
anon_0066216,0
anon_0066216,50
anon_0066227,0
anon_0066216,0
anon_0066210,0
anon_0066142,50
anon_0066130,0
anon_0066122,0
anon_0066113,50
anon_0066216,0
anon_0066130,0
anon_0066122,100
anon_0066170,50
anon_0066113,50
anon_0066122,50
anon_0066216,75
anon_0066175,0
anon_0066216,30
anon_0066216,85
anon_0066170,0
anon_0066142,30
anon_0066216,50
anon_0066196,20
anon_0066142,30
anon_0066122,0
anon_0066113,0
anon_0066170,100
anon_0066220,0
anon_0066113,0
anon_0066122,60
anon_0066216,0
anon_0066196,0
anon_0066175,0
anon_0066138,0
anon_0066228,0
anon_0066142,0
anon_0066130,90
anon_0066170,85
anon_0066216,0
anon_0066216,50
anon_0066142,50
anon_0066130,0
anon_0066196,0
anon_0066196,90
anon_0066142,0
anon_0066216,0
anon_0066138,0
anon_0066142,0
anon_0066138,0
anon_0066130,100
anon_0066113,50
anon_0066196,40
anon_0066210,0
anon_0066122,0
anon_0066175,85
anon_0066210,0
anon_0066210,0
anon_0066130,0
anon_0066122,0
anon_0066130,50
anon_0066196,85
anon_0066175,0
anon_0066175,95
anon_0066138,85
anon_0066113,NA
anon_0066196,85
anon_0066130,80
anon_0066175,100
anon_0066228,0
anon_0066130,0
anon_0066210,100
anon_0066210,0
anon_0066210,0
anon_0066122,0
anon_0066196,85
anon_0066175,100
anon_0066210,0
anon_0066130,80
anon_0066175,100
anon_0066196,0
anon_0066196,85
anon_0066175,0
anon_0066196,40
anon_0066122,80
anon_0066196,90
anon_0066210,50
anon_0066175,90
anon_0066175,90
anon_0066138,100
anon_0066210,0
anon_0066210,50
anon_0066122,90
anon_0066175,100
anon_0066175,75
anon_0066130,85
anon_0066220,0
anon_0066122,85
anon_0066175,80
anon_0066196,0
anon_0066175,90
anon_0066196,30
anon_0066175,100
anon_0066210,50
anon_0066175,70
anon_0066175,95
anon_0066175,50
anon_0066196,80
anon_0066175,100
anon_0066228,50
anon_0066175,80
anon_0066130,85
anon_0066142,90
anon_0066122,0
anon_0066175,50
anon_0066122,90
anon_0066175,80
anon_0066142,0
anon_0066196,50
anon_0066227,0
anon_0066227,0
anon_0066271,50
anon_0066227,0
anon_0066196,100
anon_0066282,0
anon_0066227,0
anon_0066227,0
anon_0066196,0
anon_0066293,100
anon_0066256,90
anon_0066227,0
anon_0066239,0
anon_0066196,90
anon_0066282,100
anon_0066227,0
anon_0066227,85
anon_0066293,0
anon_0066227,0
anon_0066317,85
anon_0066282,20
anon_0066196,100
anon_0066227,0
anon_0066293,0
anon_0066293,90
anon_0066271,30
anon_0066282,50
anon_0066256,100
anon_0066282,50
anon_0066196,0
anon_0066293,80
anon_0066227,0
anon_0066282,90
anon_0066293,0
anon_0066271,0
anon_0066293,10
anon_0066227,0
