chat_session_id,veracity_score
anon_0066119,100
anon_0066153,100
anon_0066153,90
anon_0066159,100
anon_0066151,85
anon_0066119,95
anon_0066119,100
anon_0066135,100
anon_0066119,0
anon_0066159,90
anon_0066203,100
anon_0066135,20
anon_0066185,85
anon_0066203,0
anon_0066153,100
anon_0066135,95
anon_0066119,0
anon_0066135,95
anon_0066119,85
anon_0066159,90
anon_0066153,100
anon_0066159,100
anon_0066153,95
anon_0066135,100
anon_0066119,90
anon_0066151,100
anon_0066153,0
anon_0066186,90
anon_0066203,0
anon_0066135,85
anon_0066153,90
anon_0066119,85
anon_0066184,95
anon_0066119,100
anon_0066151,100
anon_0066135,90
anon_0066119,100
anon_0066153,100
anon_0066119,0
anon_0066186,85
anon_0066151,0
anon_0066151,0
anon_0066184,85
anon_0066151,95
anon_0066159,NA
anon_0066153,85
anon_0066159,0
anon_0066184,95
anon_0066135,100
anon_0066135,90
anon_0066135,30
anon_0066135,70
anon_0066135,50
anon_0066153,85
anon_0066119,0
anon_0066184,0
anon_0066186,90
anon_0066214,85
anon_0066151,85
anon_0066217,0
anon_0066211,95
anon_0066217,90
anon_0066186,80
anon_0066153,90
anon_0066253,50
anon_0066214,75
anon_0066217,100
anon_0066262,0
anon_0066214,90
anon_0066203,100
anon_0066217,95
anon_0066211,100
anon_0066214,90
anon_0066186,85
anon_0066185,85
anon_0066217,50
anon_0066211,0
anon_0066211,90
anon_0066211,100
anon_0066186,85
anon_0066244,0
anon_0066184,85
anon_0066253,85
anon_0066151,85
anon_0066203,95
anon_0066135,0
anon_0066214,100
anon_0066153,95
anon_0066185,90
anon_0066217,100
anon_0066244,90
anon_0066244,100
anon_0066253,85
anon_0066153,0
anon_0066203,85
anon_0066217,100
anon_0066214,100
anon_0066262,100
anon_0066217,0
anon_0066262,0
anon_0066262,90
anon_0066203,90
anon_0066186,85
anon_0066291,100
anon_0066274,90
anon_0066253,100
anon_0066264,0
anon_0066291,90
anon_0066300,0
anon_0066264,100
anon_0066253,100
anon_0066262,0
anon_0066275,100
anon_0066291,100
anon_0066262,100
anon_0066288,85
anon_0066304,0
anon_0066272,100
anon_0066275,85
anon_0066253,90
anon_0066291,85
anon_0066262,100
anon_0066264,0
anon_0066214,100
anon_0066214,100
anon_0066288,90
anon_0066253,90
anon_0066294,0
anon_0066291,50
anon_0066274,100
anon_0066253,0
anon_0066253,100
anon_0066262,100
anon_0066214,100
anon_0066274,100
anon_0066214,30
anon_0066244,90
anon_0066253,100
anon_0066262,0
anon_0066253,85
anon_0066262,85
anon_0066291,90
anon_0066288,50
anon_0066262,90
anon_0066214,85
anon_0066262,0
anon_0066253,100
anon_0066275,90
anon_0066304,85
anon_0066272,90
anon_0066262,85
anon_0066214,100
anon_0066275,80
anon_0066214,100
anon_0066272,85
anon_0066214,100
anon_0066300,90
anon_0066264,85
anon_0066214,100
anon_0066308,100
anon_0066300,100
anon_0066288,0
anon_0066300,85
anon_0066300,100
anon_0066300,100
anon_0066304,95
anon_0066321,33
anon_0066291,80
anon_0066312,90
anon_0066288,85
anon_0066291,95
anon_0066304,100
anon_0066300,90
anon_0066288,95
anon_0066288,85
anon_0066321,0
anon_0066308,100
anon_0066308,100
anon_0066300,90
anon_0066308,100
anon_0066272,95
anon_0066272,85
anon_0066342,90
anon_0066312,NA
anon_0066291,100
anon_0066288,100
anon_0066291,90
anon_0066342,90
anon_0066342,90
anon_0066272,85
anon_0066294,95
anon_0066291,100
anon_0066312,0
anon_0066288,85
anon_0066342,90
anon_0066300,90
anon_0066272,85
anon_0066342,100
anon_0066342,100
anon_0066342,85
anon_0066321,100
anon_0066450,100
anon_0066459,100
anon_0066430,100
