chat_session_id,veracity_score
anon_0075615,90
anon_0075659,100
anon_0075615,100
anon_0075674,90
anon_0075615,100
anon_0075615,100
anon_0075665,90
anon_0075615,100
anon_0075657,85
anon_0075682,90
anon_0075675,100
anon_0075615,100
anon_0075678,100
anon_0075647,20
anon_0075615,100
anon_0075615,100
anon_0075682,100
anon_0075647,90
anon_0075657,85
anon_0075675,85
anon_0075675,100
anon_0075634,100
anon_0075634,100
anon_0075647,100
anon_0075678,100
anon_0075678,70
anon_0075678,85
anon_0075678,100
anon_0075674,100
anon_0075615,90
anon_0075647,90
anon_0075659,100
anon_0075615,90
anon_0075657,90
anon_0075678,90
anon_0075615,85
anon_0075657,0
anon_0075657,85
anon_0075678,85
anon_0075675,90
anon_0075674,90
anon_0075675,85
anon_0075615,100
anon_0075659,100
anon_0075678,85
anon_0075647,95
anon_0075659,90
anon_0075615,100
anon_0075659,85
anon_0075615,100
anon_0075675,100
anon_0075647,95
anon_0075615,100
anon_0075665,85
anon_0075647,85
anon_0075675,85
anon_0075615,100
anon_0075647,85
anon_0075657,85
anon_0075682,90
anon_0075665,85
anon_0075615,100
anon_0075615,95
anon_0075647,85
anon_0075674,85
anon_0075615,100
anon_0075647,100
anon_0075675,90
anon_0075634,95
anon_0075682,90
anon_0075615,100
anon_0075615,90
anon_0075674,85
anon_0075657,75
anon_0075674,100
anon_0075657,85
anon_0075657,70
anon_0075615,90
anon_0075657,85
anon_0075675,85
anon_0075675,85
anon_0075665,85
anon_0075647,85
anon_0075615,85
anon_0075615,90
anon_0075615,95
anon_0075665,85
anon_0075647,90
anon_0075615,90
anon_0075665,100
anon_0075657,85
anon_0075657,90
anon_0075659,100
anon_0075657,100
anon_0075682,100
anon_0075675,85
anon_0075659,90
anon_0075678,85
anon_0075665,90
anon_0075657,90
anon_0075659,85
anon_0075647,100
anon_0075665,100
anon_0075665,85
anon_0075657,85
anon_0075675,85
anon_0075657,85
anon_0075659,100
anon_0075665,85
anon_0075647,95
anon_0075615,100
anon_0075682,95
anon_0075659,95
anon_0075659,85
anon_0075659,100
anon_0075615,100
anon_0075647,90
anon_0075665,85
anon_0075647,85
anon_0075665,90
anon_0075615,100
anon_0075665,50
anon_0075615,100
anon_0075682,100
anon_0075665,50
anon_0075657,100
anon_0075659,85
anon_0075657,100
anon_0075615,90
anon_0075647,90
anon_0075615,85
anon_0075615,100
anon_0075657,90
anon_0075657,100
anon_0075657,100
anon_0075615,100
anon_0075659,85
anon_0075647,85
anon_0075647,90
anon_0075665,85
anon_0075657,100
anon_0075647,100
anon_0075659,100
anon_0075657,85
anon_0075657,90
anon_0075615,100
anon_0075665,85
anon_0075657,100
anon_0075647,100
anon_0075659,50
anon_0075665,20
anon_0075657,85
anon_0075659,100
anon_0075657,95
anon_0075659,85
anon_0075615,90
anon_0075657,95
anon_0075647,85
anon_0075657,85
anon_0075657,100
anon_0075647,85
anon_0075665,85
anon_0075615,100
anon_0075615,100
anon_0075615,90
anon_0075657,85
anon_0075665,20
anon_0075615,100
anon_0075659,100
anon_0075665,85
anon_0075659,70
anon_0075615,100
anon_0075665,90
anon_0075659,90
anon_0075659,95
anon_0075647,90
anon_0075659,100
anon_0075657,95
anon_0075647,90
anon_0075615,85
anon_0075659,85
anon_0075659,100
anon_0075659,100
anon_0075659,100
anon_0075665,50
anon_0075615,0
anon_0075647,90
anon_0075615,85
anon_0075647,90
anon_0075659,85
anon_0075615,85
anon_0075615,85
anon_0075647,100
anon_0075659,85
anon_0075615,0
anon_0075647,0
anon_0075615,95
anon_0075647,85
anon_0075647,85
anon_0075665,100
anon_0075615,85
anon_0075615,85
anon_0075647,100
anon_0075647,90
anon_0075647,85
anon_0075647,90
anon_0075657,90
anon_0075665,90
anon_0075647,85
anon_0075647,85
anon_0075657,90
anon_0075647,85
anon_0075659,95
anon_0075665,85
