chat_session_id,veracity_score
anon_0075699,0
anon_0075691,0
anon_0075680,95
anon_0075699,0
anon_0075631,0
anon_0075723,90
anon_0075667,85
anon_0075695,85
anon_0075723,85
anon_0075631,85
anon_0075691,30
anon_0075691,0
anon_0075680,0
anon_0075691,0
anon_0075662,95
anon_0075695,0
anon_0075699,0
anon_0075662,0
anon_0075699,0
anon_0075699,0
anon_0075631,85
anon_0075695,0
anon_0075662,0
anon_0075695,85
anon_0075631,50
anon_0075708,85
anon_0075691,0
anon_0075708,70
anon_0075667,50
anon_0075680,0
anon_0075631,80
anon_0075699,85
anon_0075718,0
anon_0075667,50
anon_0075680,50
anon_0075667,0
anon_0075662,0
anon_0075695,NA
anon_0075695,0
anon_0075667,50
anon_0075691,0
anon_0075691,0
anon_0075662,0
anon_0075691,50
anon_0075667,0
anon_0075680,0
anon_0075662,85
anon_0075691,0
anon_0075691,0
anon_0075718,50
anon_0075691,0
anon_0075695,100
anon_0075680,50
anon_0075631,0
anon_0075680,0
anon_0075662,50
anon_0075662,100
anon_0075691,0
anon_0075680,0
anon_0075662,50
anon_0075718,85
anon_0075691,30
anon_0075667,50
anon_0075680,0
anon_0075691,0
anon_0075680,90
anon_0075691,0
anon_0075680,0
anon_0075691,0
anon_0075691,50
anon_0075662,0
anon_0075662,90
anon_0075662,0
anon_0075680,0
anon_0075723,95
anon_0075691,50
anon_0075667,50
anon_0075662,85
anon_0075718,85
anon_0075680,0
anon_0075631,50
anon_0075680,0
anon_0075691,75
anon_0075662,0
anon_0075691,0
anon_0075691,0
anon_0075631,50
anon_0075667,0
anon_0075651,0
anon_0075631,0
anon_0075631,0
anon_0075651,0
anon_0075662,0
anon_0075651,85
anon_0075691,0
anon_0075631,0
anon_0075718,0
anon_0075631,0
anon_0075691,0
anon_0075631,50
anon_0075651,0
anon_0075631,0
anon_0075662,0
anon_0075695,0
anon_0075651,0
anon_0075662,0
anon_0075667,85
anon_0075651,0
anon_0075651,0
anon_0075631,0
anon_0075631,50
anon_0075662,0
anon_0075691,50
anon_0075651,0
anon_0075691,0
anon_0075662,0
anon_0075680,0
anon_0075718,85
anon_0075718,100
anon_0075680,0
anon_0075662,85
anon_0075691,0
anon_0075631,50
anon_0075695,85
anon_0075631,100
anon_0075631,0
anon_0075631,50
anon_0075631,85
anon_0075691,0
anon_0075718,0
anon_0075718,85
anon_0075651,75
anon_0075631,50
anon_0075631,50
anon_0075631,85
anon_0075691,0
anon_0075691,85
anon_0075651,85
anon_0075631,40
anon_0075631,85
anon_0075667,50
anon_0075667,0
anon_0075667,0
anon_0075667,0
anon_0075718,75
anon_0075651,50
anon_0075691,NA
anon_0075631,85
anon_0075662,50
anon_0075667,0
anon_0075662,0
anon_0075651,0
anon_0075695,0
anon_0075662,0
anon_0075651,50
anon_0075651,85
anon_0075651,0
anon_0075651,85
anon_0075667,0
anon_0075662,0
anon_0075695,0
anon_0075631,85
anon_0075691,50
anon_0075662,0
anon_0075718,80
anon_0075667,0
anon_0075631,85
anon_0075695,0
anon_0075695,0
anon_0075667,0
anon_0075667,50
anon_0075651,70
anon_0075651,50
anon_0075662,0
anon_0075695,0
anon_0075695,0
anon_0075662,0
anon_0075662,0
anon_0075695,0
anon_0075631,50
anon_0075699,0
anon_0075699,0
anon_0075699,0
anon_0075667,0
anon_0075699,50
anon_0075667,50
anon_0075631,85
anon_0075699,0
anon_0075699,0
anon_0075695,85
anon_0075651,0
anon_0075699,0
anon_0075695,95
anon_0075631,85
anon_0075695,50
anon_0075699,0
anon_0075651,0
anon_0075699,0
anon_0075695,0
anon_0075662,0
anon_0075662,0
anon_0075695,0
anon_0075631,50
anon_0075699,50
anon_0075699,50
anon_0075631,50
anon_0075631,85
anon_0075695,0
anon_0075662,0
anon_0075631,50
anon_0075631,0
anon_0075631,50
anon_0075695,85
anon_0075699,0
anon_0075631,100
anon_0075667,0
anon_0075631,50
anon_0075662,0
anon_0075631,20
anon_0075651,50
anon_0075631,20
anon_0075699,85
anon_0075631,50
anon_0075699,100
anon_0075699,0
anon_0075695,0
anon_0075662,0
anon_0075699,0
anon_0075699,80
anon_0075662,0
anon_0075699,0
anon_0075662,100
anon_0075631,0
anon_0075662,0
anon_0075667,0
anon_0075699,0
anon_0075667,0
anon_0075631,50
anon_0075699,0
anon_0075662,0
anon_0075699,0
anon_0075699,50
anon_0075699,50
anon_0075631,85
anon_0075667,0
anon_0075662,0
anon_0075667,0
anon_0075662,0
anon_0075699,0
anon_0075662,0
anon_0075651,70
anon_0075662,50
anon_0075699,0
anon_0075662,50
anon_0075631,NA
anon_0075631,50
anon_0075662,85
anon_0075631,75
anon_0075699,0
anon_0075699,0
anon_0075699,0
anon_0075662,0
anon_0075667,0
anon_0075662,0
anon_0075662,85
anon_0075667,20
anon_0075699,0
anon_0075699,50
anon_0075699,0
anon_0075651,85
anon_0075631,70
anon_0075699,0
anon_0075662,0
anon_0075667,0
anon_0075699,0
anon_0075699,50
anon_0075708,0
anon_0075667,0
anon_0075699,0
anon_0075667,0
anon_0075662,0
anon_0075699,0
anon_0075708,50
anon_0075699,0
anon_0075662,0
anon_0075699,0
anon_0075662,85
anon_0075631,85
anon_0075699,85
anon_0075708,95
anon_0075662,0
anon_0075662,0
anon_0075662,0
anon_0075699,50
anon_0075631,75
anon_0075699,90
anon_0075662,0
anon_0075699,0
anon_0075699,0
anon_0075708,100
anon_0075699,0
anon_0075708,50
anon_0075651,0
anon_0075662,0
anon_0075699,0
anon_0075662,NA
anon_0075631,85
anon_0075667,0
anon_0075708,90
anon_0075708,85
anon_0075662,NA
anon_0075662,0
anon_0075662,0
anon_0075708,95
anon_0075662,50
anon_0075662,0
anon_0075651,0
anon_0075699,0
anon_0075651,0
anon_0075662,0
anon_0075651,50
anon_0075651,0
anon_0075651,20
anon_0075662,0
anon_0075662,0
anon_0075699,100
anon_0075662,0
anon_0075662,85
anon_0075651,85
anon_0075699,0
anon_0075662,0
anon_0075708,30
anon_0075708,85
anon_0075651,20
anon_0075651,30
anon_0075651,50
anon_0075662,0
anon_0075662,0
anon_0075662,0
anon_0075651,50
anon_0075708,50
anon_0075708,75
anon_0075662,0
anon_0075662,85
anon_0075662,0
anon_0075662,60
anon_0075662,85
anon_0075662,50
anon_0075708,85
anon_0075651,0
anon_0075662,0
anon_0075662,85
anon_0075662,0
anon_0075662,85
anon_0075662,0
anon_0075708,85
anon_0075662,0
anon_0075662,0
anon_0075662,85
anon_0075662,85
anon_0075708,NA
anon_0075651,0
anon_0075722,0
anon_0075718,30
anon_0075733,0
anon_0075729,85
anon_0075733,50
anon_0075733,0
anon_0075722,100
anon_0075729,0
anon_0075723,0
anon_0075718,0
anon_0075723,0
anon_0075729,0
anon_0075718,0
anon_0075718,0
anon_0075729,0
anon_0075718,0
anon_0075718,0
anon_0075718,20
anon_0075729,0
anon_0075722,0
anon_0075729,0
anon_0075723,0
anon_0075729,85
anon_0075733,75
anon_0075722,0
anon_0075733,0
anon_0075718,0
anon_0075718,50
anon_0075723,0
anon_0075722,0
anon_0075718,0
anon_0075733,0
anon_0075718,0
anon_0075723,0
anon_0075723,0
anon_0075733,0
anon_0075722,0
anon_0075722,0
anon_0075718,0
anon_0075733,75
anon_0075722,0
anon_0075718,0
anon_0075722,0
anon_0075733,90
anon_0075722,50
anon_0075723,0
anon_0075733,50
anon_0075733,0
anon_0075722,0
anon_0075729,50
anon_0075722,0
anon_0075733,0
anon_0075729,0
anon_0075733,0
anon_0075718,0
anon_0075733,85
anon_0075718,0
anon_0075722,0
anon_0075722,0
anon_0075722,0
anon_0075722,0
anon_0075722,0
anon_0075722,0
anon_0075729,0
anon_0075718,0
anon_0075723,0
anon_0075722,0
anon_0075729,0
anon_0075723,80
anon_0075718,NA
anon_0075723,0
anon_0075718,85
anon_0075722,0
anon_0075723,85
anon_0075723,0
anon_0075722,0
anon_0075733,0
anon_0075722,0
anon_0075729,85
anon_0075718,0
anon_0075733,0
anon_0075729,0
anon_0075722,NA
anon_0075729,0
anon_0075723,0
anon_0075729,0
anon_0075722,0
anon_0075718,50
anon_0075729,0
anon_0075722,0
anon_0075718,0
anon_0075729,0
anon_0075733,0
anon_0075733,0
anon_0075733,0
anon_0075718,50
anon_0075723,0
anon_0075718,85
anon_0075733,100
anon_0075723,0
anon_0075729,100
anon_0075733,NA
anon_0075722,40
anon_0075723,0
anon_0075722,50
anon_0075729,85
anon_0075733,50
anon_0075733,0
anon_0075729,0
anon_0075722,0
anon_0075729,0
anon_0075729,0
anon_0075723,95
anon_0075733,50
anon_0075729,0
anon_0075729,0
anon_0075708,0
anon_0075723,90
anon_0075733,0
anon_0075722,50
anon_0075722,0
anon_0075723,100
anon_0075729,85
anon_0075718,70
anon_0075733,50
anon_0075723,90
anon_0075729,0
anon_0075733,0
anon_0075723,0
anon_0075729,0
anon_0075722,0
anon_0075723,0
anon_0075733,50
anon_0075729,95
anon_0075723,90
anon_0075733,85
anon_0075722,0
anon_0075723,0
anon_0075733,0
anon_0075729,100
anon_0075733,75
anon_0075733,0
anon_0075733,20
anon_0075729,0
anon_0075733,0
anon_0075733,50
anon_0075722,0
anon_0075722,0
anon_0075733,0
anon_0075733,0
anon_0075729,85
anon_0075729,50
anon_0075733,30
anon_0075708,0
anon_0075708,0
anon_0075723,90
anon_0075723,0
anon_0075695,0
anon_0075695,0
anon_0075708,85
anon_0075723,95
anon_0075695,0
anon_0075722,0
anon_0075729,85
anon_0075695,0
anon_0075708,75
anon_0075695,0
anon_0075733,0
anon_0075695,0
anon_0075733,50
anon_0075708,0
anon_0075722,0
anon_0075729,85
anon_0075723,0
anon_0075722,0
anon_0075729,0
anon_0075708,0
anon_0075708,0
anon_0075722,50
anon_0075723,85
anon_0075733,50
anon_0075722,0
anon_0075695,0
anon_0075695,0
anon_0075708,85
anon_0075708,50
anon_0075733,0
anon_0075722,0
anon_0075723,50
anon_0075723,0
anon_0075708,100
anon_0075723,85
anon_0075695,0
anon_0075695,0
anon_0075722,0
anon_0075708,0
anon_0075708,0
anon_0075708,85
anon_0075733,0
anon_0075733,85
anon_0075695,50
anon_0075733,0
anon_0075708,0
anon_0075695,0
anon_0075722,0
anon_0075722,0
anon_0075708,50
anon_0075708,0
anon_0075695,0
anon_0075708,75
anon_0075729,85
anon_0075733,0
anon_0075708,0
anon_0075708,60
anon_0075723,0
anon_0075708,NA
anon_0075708,0
anon_0075695,0
anon_0075733,0
anon_0075708,0
anon_0075695,0
anon_0075733,50
anon_0075708,50
anon_0075695,0
anon_0075708,50
anon_0075733,0
anon_0075708,50
anon_0075708,0
anon_0075723,50
anon_0075733,0
anon_0075708,0
anon_0075733,0
anon_0075708,90
anon_0075733,0
anon_0075723,0
anon_0075708,0
anon_0075723,50
anon_0075695,0
anon_0075723,0
anon_0075695,0
anon_0075708,0
anon_0075723,0
anon_0075695,0
anon_0075695,0
anon_0075723,0
anon_0075723,0
anon_0075723,0
anon_0075708,0
anon_0075695,NA
anon_0075723,0
anon_0075723,0
anon_0075723,0
anon_0075708,50
anon_0075708,85
anon_0075733,0
anon_0075708,50
anon_0075708,50
anon_0075729,0
anon_0075723,0
anon_0075723,0
anon_0075723,0
anon_0075723,0
anon_0075723,0
anon_0075733,0
anon_0075723,0
anon_0075723,0
anon_0075723,0
anon_0075708,85
anon_0075695,0
anon_0075723,75
anon_0075723,0
anon_0075723,0
anon_0075708,0
anon_0075723,0
anon_0075723,100
anon_0075723,85
anon_0075723,0
anon_0075708,85
anon_0075723,50
anon_0075723,30
anon_0075723,0
anon_0075723,50
anon_0075708,0
anon_0075723,85
anon_0075723,0
anon_0075723,85
anon_0075729,85
anon_0075723,0
anon_0075723,90
anon_0075723,100
anon_0075723,90
anon_0075723,0
anon_0075723,0
anon_0075723,100
anon_0075723,0
anon_0075723,0
anon_0075733,0
anon_0075708,75
anon_0075723,0
anon_0075723,50
anon_0075695,50
anon_0075729,0
anon_0075723,90
anon_0075729,0
anon_0075708,50
anon_0075729,0
anon_0075695,85
anon_0075723,0
anon_0075733,90
anon_0075723,0
anon_0075723,50
anon_0075695,0
anon_0075723,50
anon_0075723,50
anon_0075723,0
anon_0075723,50
anon_0075722,50
anon_0075723,85
anon_0075723,85
anon_0075708,50
anon_0075708,0
anon_0075729,0
anon_0075723,90
anon_0075729,0
anon_0075733,0
anon_0075723,50
anon_0075723,0
anon_0075729,100
anon_0075723,0
anon_0075723,75
anon_0075723,50
anon_0075718,50
anon_0075729,0
anon_0075723,0
anon_0075723,50
anon_0075723,0
anon_0075729,0
anon_0075723,85
anon_0075733,0
anon_0075723,0
anon_0075729,0
anon_0075729,NA
anon_0075723,85
anon_0075723,50
anon_0075723,50
anon_0075729,20
anon_0075723,50
anon_0075723,85
anon_0075723,85
anon_0075723,30
anon_0075729,50
anon_0075723,0
anon_0075723,0
anon_0075729,0
anon_0075723,80
anon_0075723,20
anon_0075723,0
anon_0075723,85
anon_0075723,75
anon_0075723,50
anon_0075723,90
anon_0075723,50
anon_0075722,0
anon_0075796,0
anon_0075770,0
anon_0075753,100
anon_0075796,0
anon_0075781,75
anon_0075743,100
anon_0075753,50
anon_0075769,95
anon_0075753,0
anon_0075770,85
anon_0075796,0
anon_0075753,90
anon_0075722,0
anon_0075770,85
anon_0075796,0
anon_0075799,100
anon_0075796,0
anon_0075753,100
anon_0075753,50
anon_0075796,0
anon_0075753,0
anon_0075799,90
anon_0075769,85
anon_0075770,85
anon_0075722,0
anon_0075722,0
anon_0075743,90
anon_0075769,100
anon_0075743,60
anon_0075753,50
anon_0075743,85
anon_0075753,60
anon_0075781,85
anon_0075799,0
anon_0075743,85
anon_0075781,0
anon_0075769,90
anon_0075769,50
anon_0075769,0
anon_0075769,0
anon_0075781,0
anon_0075722,0
anon_0075770,0
anon_0075796,0
anon_0075722,0
anon_0075753,0
anon_0075722,0
anon_0075770,0
anon_0075722,0
anon_0075781,85
anon_0075796,0
anon_0075769,0
anon_0075770,0
anon_0075769,50
anon_0075722,0
anon_0075796,0
anon_0075722,0
anon_0075753,0
anon_0075769,0
anon_0075796,85
anon_0075753,85
anon_0075781,50
anon_0075753,0
anon_0075753,85
anon_0075781,0
anon_0075769,0
anon_0075770,0
anon_0075796,0
anon_0075781,85
anon_0075770,0
anon_0075722,0
anon_0075722,0
anon_0075769,0
anon_0075770,0
anon_0075796,0
anon_0075753,80
anon_0075753,0
anon_0075781,50
anon_0075753,0
anon_0075722,0
anon_0075753,0
anon_0075753,50
anon_0075770,0
anon_0075796,80
anon_0075781,85
anon_0075753,70
anon_0075770,90
anon_0075770,0
anon_0075770,85
anon_0075781,0
anon_0075722,0
anon_0075753,0
anon_0075770,0
anon_0075781,0
anon_0075753,0
anon_0075722,0
anon_0075753,85
anon_0075722,0
anon_0075753,0
anon_0075769,70
anon_0075796,85
anon_0075753,90
anon_0075722,0
anon_0075722,0
anon_0075781,0
anon_0075781,0
anon_0075770,85
anon_0075753,0
anon_0075796,0
anon_0075722,0
anon_0075781,0
anon_0075796,0
anon_0075781,NA
anon_0075769,0
anon_0075781,85
anon_0075770,70
anon_0075781,50
anon_0075770,30
anon_0075781,0
anon_0075781,0
anon_0075753,50
anon_0075753,0
anon_0075781,0
anon_0075781,0
anon_0075781,0
anon_0075753,90
anon_0075722,0
anon_0075781,0
anon_0075722,0
anon_0075781,NA
anon_0075781,0
anon_0075781,0
anon_0075770,10
anon_0075753,0
anon_0075781,0
anon_0075753,0
anon_0075781,0
anon_0075770,75
anon_0075743,0
anon_0075722,0
anon_0075743,0
anon_0075753,NA
anon_0075770,0
anon_0075781,85
anon_0075743,0
anon_0075743,50
anon_0075781,0
anon_0075743,0
anon_0075743,0
anon_0075743,0
anon_0075743,0
anon_0075781,50
anon_0075753,0
anon_0075781,0
anon_0075770,50
anon_0075743,85
anon_0075722,0
anon_0075743,0
anon_0075770,50
anon_0075743,90
anon_0075743,0
anon_0075743,0
anon_0075770,50
anon_0075770,0
anon_0075770,85
anon_0075743,0
anon_0075743,0
anon_0075743,0
anon_0075722,0
anon_0075743,0
anon_0075743,100
anon_0075743,NA
anon_0075770,0
anon_0075781,0
anon_0075743,0
anon_0075781,85
anon_0075743,50
anon_0075743,100
anon_0075722,0
anon_0075743,85
anon_0075743,0
anon_0075743,0
anon_0075722,0
anon_0075722,0
anon_0075722,0
anon_0075722,0
anon_0075743,0
anon_0075743,75
anon_0075722,0
anon_0075722,0
anon_0075753,50
anon_0075743,60
anon_0075743,85
anon_0075743,0
anon_0075743,0
anon_0075743,0
anon_0075743,0
anon_0075769,100
