chat_session_id,veracity_score
anon_0092461,100
anon_0092462,85
anon_0092462,90
anon_0092463,95
anon_0092464,85
anon_0092463,50
anon_0092464,85
anon_0092464,85
anon_0092462,95
anon_0092462,90
anon_0092465,95
anon_0092466,85
anon_0092466,85
anon_0092467,100
anon_0092465,85
anon_0092465,85
anon_0092466,0
anon_0092466,50
anon_0092467,85
anon_0092466,80
anon_0092465,100
anon_0092468,100
anon_0092469,75
anon_0092470,100
anon_0092469,85
anon_0092470,0
anon_0092470,95
anon_0092469,100
anon_0092466,90
anon_0092466,50
anon_0092470,100
anon_0092466,100
anon_0092470,90
anon_0092466,90
anon_0092469,NA
anon_0092470,90
anon_0092466,90
anon_0092470,50
anon_0092470,30
anon_0092470,85
anon_0092471,0
anon_0092472,0
anon_0092471,80
anon_0092471,50
anon_0092473,95
anon_0092471,40
anon_0092471,0
anon_0092474,0
anon_0092475,40
anon_0092475,100
anon_0092474,100
anon_0092472,85
anon_0092475,100
anon_0092475,90
anon_0092474,90
anon_0092475,85
anon_0092474,100
anon_0092476,85
anon_0092474,100
anon_0092474,90
anon_0092477,90
anon_0092477,85
anon_0092478,100
anon_0092479,95
anon_0092479,90
anon_0092480,100
anon_0092480,85
anon_0092480,100
anon_0092480,95
anon_0092480,85
anon_0092481,100
anon_0092482,90
anon_0092481,100
anon_0092481,85
anon_0092483,85
anon_0092483,95
anon_0092481,100
anon_0092481,90
anon_0092484,85
anon_0092481,90
anon_0092485,100
anon_0092481,100
anon_0092481,100
anon_0092481,100
anon_0092485,100
anon_0092485,90
anon_0092486,20
anon_0092486,85
anon_0092486,100
anon_0092485,85
anon_0092486,85
anon_0092486,75
anon_0092486,0
anon_0092486,30
anon_0092487,90
anon_0092486,0
anon_0092486,80
anon_0092486,30
anon_0092485,95
anon_0092488,85
anon_0092489,100
anon_0092490,50
anon_0092485,95
anon_0092490,50
anon_0092489,100
anon_0092488,85
anon_0092485,80
anon_0092488,85
anon_0092488,50
anon_0092490,20
anon_0092491,100
anon_0092490,0
anon_0092492,85
anon_0092491,95
anon_0092491,85
anon_0092493,100
anon_0092491,100
anon_0092490,100
anon_0092491,85
anon_0092490,0
anon_0092491,85
anon_0092491,85
anon_0092490,50
anon_0092492,85
anon_0092491,95
anon_0092492,85
anon_0092491,85
anon_0092491,90
anon_0092491,85
anon_0092494,0
anon_0092494,0
anon_0092495,85
anon_0092496,50
anon_0092495,100
anon_0092496,90
anon_0092494,0
anon_0092495,85
anon_0092495,85
anon_0092495,100
anon_0092495,75
anon_0092497,90
anon_0092498,100
anon_0092499,100
anon_0092495,50
anon_0092497,75
anon_0092500,90
anon_0092500,50
anon_0092499,85
anon_0092495,100
anon_0092498,85
anon_0092498,90
anon_0092495,85
anon_0092501,95
anon_0092502,100
anon_0092501,90
anon_0092503,0
anon_0092504,85
anon_0092504,90
anon_0092505,90
anon_0092506,85
anon_0092503,90
anon_0092504,85
anon_0092506,90
anon_0092506,90
anon_0092505,95
anon_0092507,90
anon_0092508,100
anon_0092508,85
anon_0092508,100
anon_0092508,85
anon_0092508,100
anon_0092508,85
anon_0092509,90
anon_0092510,100
anon_0092510,100
anon_0092511,90
anon_0092511,90
anon_0092512,85
anon_0092509,10
anon_0092510,0
anon_0092512,95
anon_0092512,85
anon_0092509,100
anon_0092513,100
anon_0092513,50
anon_0092513,50
anon_0092513,0
anon_0092514,100
anon_0092513,95
anon_0092513,100
anon_0092513,50
anon_0092513,85
anon_0092513,50
anon_0092514,100
anon_0092514,50
anon_0092514,100
anon_0092514,90
anon_0092515,100
anon_0092515,100
anon_0092516,80
anon_0092517,100
anon_0092517,100
anon_0092517,90
anon_0092516,90
anon_0092517,85
anon_0092516,90
anon_0092518,85
anon_0092518,90
anon_0092519,100
anon_0092520,100
anon_0092518,75
anon_0092521,85
anon_0092519,50
anon_0092519,90
anon_0092521,20
anon_0092521,50
anon_0092519,100
anon_0092519,100
anon_0092518,90
anon_0092519,85
anon_0092518,90
anon_0092522,85
anon_0092523,50
anon_0092523,50
anon_0092522,85
anon_0092522,85
anon_0092522,80
anon_0092524,75
anon_0092525,100
anon_0092525,100
anon_0092523,0
anon_0092525,100
anon_0092526,85
anon_0092523,100
anon_0092527,100
anon_0092526,90
anon_0092527,100
anon_0092523,50
anon_0092527,90
anon_0092527,50
anon_0092525,50
anon_0092528,100
anon_0092528,85
anon_0092529,100
anon_0092529,50
anon_0092529,100
anon_0092529,50
anon_0092530,90
anon_0092530,100
anon_0092530,100
anon_0092531,90
anon_0092532,90
anon_0092533,95
anon_0092534,85
anon_0092535,90
anon_0092533,75
anon_0092533,85
anon_0092535,85
anon_0092533,70
anon_0092536,50
anon_0092531,85
anon_0092531,50
anon_0092537,90
anon_0092537,100
anon_0092537,85
anon_0092538,85
anon_0092539,100
anon_0092540,90
anon_0092538,85
anon_0092540,90
anon_0092541,85
anon_0092538,85
anon_0092538,85
anon_0092542,100
anon_0092542,0
anon_0092542,50
anon_0092542,100
anon_0092542,85
anon_0092543,85
anon_0092543,85
anon_0092543,85
anon_0092542,0
anon_0092542,90
anon_0092544,100
anon_0092544,100
anon_0092544,85
anon_0092544,85
anon_0092544,100
anon_0092545,85
anon_0092546,50
anon_0092547,90
anon_0092547,100
anon_0092544,100
anon_0092546,90
anon_0092544,85
anon_0092547,100
anon_0092544,100
anon_0092548,0
anon_0092545,85
anon_0092549,100
anon_0092550,90
anon_0092551,90
anon_0092550,100
anon_0092551,90
anon_0092549,0
anon_0092551,85
anon_0092551,100
anon_0092550,95
anon_0092552,100
anon_0092552,90
anon_0092553,50
anon_0092554,90
anon_0092554,85
anon_0092555,80
anon_0092555,85
anon_0092555,75
anon_0092552,90
anon_0092556,90
anon_0092556,95
anon_0092557,85
anon_0092558,90
anon_0092557,85
anon_0092559,85
anon_0092558,85
anon_0092559,85
anon_0092559,90
anon_0092560,95
anon_0092561,85
anon_0092560,100
anon_0092562,100
anon_0092562,85
anon_0092560,90
anon_0092563,85
anon_0092564,90
anon_0092560,85
anon_0092561,50
anon_0092562,85
anon_0092560,85
anon_0092560,85
anon_0092565,100
anon_0092566,90
anon_0092566,90
anon_0092566,85
anon_0092566,80
anon_0092566,85
anon_0092566,90
anon_0092567,100
anon_0092567,90
anon_0092568,100
anon_0092567,90
anon_0092567,85
anon_0092568,100
anon_0092567,50
anon_0092567,90
anon_0092562,100
anon_0092569,100
anon_0092569,95
anon_0092570,85
anon_0092562,85
anon_0092562,85
anon_0092569,95
anon_0092562,90
anon_0092562,100
anon_0092562,100
anon_0092566,95
anon_0092569,100
anon_0092569,85
anon_0092569,100
anon_0092570,70
anon_0092562,90
anon_0092569,85
anon_0092569,90
anon_0092571,90
anon_0092572,85
anon_0092573,90
anon_0092574,100
anon_0092562,95
anon_0092574,100
anon_0092571,90
anon_0092573,90
anon_0092573,85
anon_0092574,95
anon_0092573,100
anon_0092573,80
anon_0092575,95
anon_0092576,100
anon_0092577,100
anon_0092576,90
anon_0092578,90
anon_0092579,100
anon_0092579,100
anon_0092579,100
anon_0092579,85
anon_0092580,100
anon_0092581,100
anon_0092582,30
anon_0092583,85
anon_0092584,80
anon_0092584,100
anon_0092580,85
anon_0092584,100
anon_0092581,85
anon_0092581,75
anon_0092581,85
anon_0092581,85
anon_0092581,50
anon_0092585,90
anon_0092581,90
anon_0092586,100
anon_0092586,85
anon_0092587,90
anon_0092583,90
anon_0092588,100
anon_0092589,80
anon_0092590,90
anon_0092589,90
anon_0092589,90
anon_0092590,50
anon_0092591,85
anon_0092591,100
anon_0092591,90
anon_0092592,100
anon_0092593,100
anon_0092592,90
anon_0092592,95
anon_0092592,100
anon_0092592,85
anon_0092592,70
anon_0092594,90
anon_0092595,90
anon_0092596,100
anon_0092594,90
anon_0092597,100
anon_0092598,85
anon_0092599,90
anon_0092600,0
anon_0092600,50
anon_0092601,100
anon_0092600,100
anon_0092598,90
anon_0092598,90
anon_0092601,100
anon_0092597,100
anon_0092600,50
anon_0092600,50
anon_0092602,90
anon_0092599,75
anon_0092599,85
anon_0092602,95
anon_0092602,90
anon_0092599,80
anon_0092600,100
anon_0092599,95
anon_0092597,95
anon_0092600,100
anon_0092603,100
anon_0092604,50
anon_0092604,90
anon_0092604,85
anon_0092604,100
anon_0092604,75
anon_0092605,100
anon_0092603,90
anon_0092604,70
anon_0092606,70
anon_0092604,90
anon_0092607,100
anon_0092604,85
anon_0092604,85
anon_0092607,95
anon_0092608,100
anon_0092609,100
anon_0092610,100
anon_0092608,85
anon_0092609,100
anon_0092608,50
anon_0092611,100
anon_0092612,10
anon_0092613,90
anon_0092614,85
anon_0092615,50
anon_0092608,90
anon_0092612,85
anon_0092611,100
anon_0092613,90
anon_0092616,85
anon_0092616,100
anon_0092616,85
anon_0092617,50
anon_0092618,0
anon_0092616,100
anon_0092619,85
anon_0092616,100
anon_0092614,85
anon_0092614,100
anon_0092620,0
anon_0092616,90
anon_0092616,100
anon_0092619,100
anon_0092619,85
anon_0092619,100
anon_0092616,85
anon_0092616,75
anon_0092619,90
anon_0092616,85
anon_0092616,90
anon_0092621,85
anon_0092621,100
anon_0092622,90
anon_0092621,100
anon_0092623,95
anon_0092621,50
anon_0092621,90
anon_0092621,0
anon_0092621,100
anon_0092622,20
anon_0092621,85
anon_0092621,90
anon_0092622,85
anon_0092621,90
anon_0092624,100
anon_0092625,90
anon_0092625,85
anon_0092626,100
anon_0092627,0
anon_0092627,50
anon_0092626,100
anon_0092627,100
anon_0092625,85
anon_0092625,85
anon_0092628,60
anon_0092629,0
anon_0092628,85
anon_0092630,90
anon_0092628,100
anon_0092631,90
anon_0092632,90
anon_0092628,85
anon_0092628,80
anon_0092628,100
anon_0092628,85
anon_0092628,90
anon_0092631,100
anon_0092631,75
anon_0092628,80
anon_0092633,100
anon_0092633,95
anon_0092634,100
anon_0092634,90
anon_0092635,85
anon_0092635,85
anon_0092634,100
anon_0092636,70
anon_0092634,90
anon_0092634,100
anon_0092636,0
anon_0092636,95
anon_0092634,100
anon_0092636,100
anon_0092637,95
anon_0092638,85
anon_0092639,100
anon_0092637,90
anon_0092640,100
anon_0092639,95
anon_0092640,95
anon_0092639,100
anon_0092639,85
anon_0092639,100
anon_0092639,50
anon_0092640,100
anon_0092640,85
anon_0092641,100
anon_0092642,90
anon_0092642,85
anon_0092638,80
anon_0092643,90
anon_0092641,85
anon_0092644,95
anon_0092643,85
anon_0092644,100
anon_0092644,90
anon_0092644,90
anon_0092644,90
anon_0092644,90
anon_0092644,100
anon_0092643,100
anon_0092645,100
anon_0092646,100
anon_0092647,100
anon_0092643,100
anon_0092645,90
anon_0092643,100
anon_0092645,20
anon_0092646,85
anon_0092643,95
anon_0092647,90
anon_0092645,90
anon_0092648,85
anon_0092649,95
anon_0092649,90
anon_0092646,100
anon_0092648,90
anon_0092646,90
anon_0092648,85
anon_0092650,NA
anon_0092646,95
anon_0092649,100
anon_0092646,85
anon_0092651,90
anon_0092652,90
anon_0092653,100
anon_0092651,85
anon_0092652,85
anon_0092652,100
anon_0092651,100
anon_0092653,85
anon_0092654,90
anon_0092651,100
anon_0092654,90
anon_0092651,30
anon_0092653,100
anon_0092655,85
anon_0092652,85
anon_0092651,90
anon_0092656,90
anon_0092652,0
anon_0092648,85
anon_0092651,80
anon_0092651,100
anon_0092651,100
anon_0092652,50
anon_0092653,70
anon_0092651,100
anon_0092651,80
anon_0092655,95
anon_0092654,95
anon_0092651,20
anon_0092656,75
anon_0092654,100
anon_0092657,85
anon_0092658,100
anon_0092652,100
anon_0092659,85
anon_0092657,100
anon_0092658,90
anon_0092659,100
anon_0092657,90
anon_0092658,85
anon_0092659,100
anon_0092658,85
anon_0092660,100
anon_0092661,95
anon_0092661,95
anon_0092662,50
anon_0092662,85
anon_0092660,100
anon_0092663,0
anon_0092661,100
anon_0092663,50
anon_0092661,85
anon_0092660,100
anon_0092662,85
anon_0092660,85
anon_0092662,90
anon_0092664,100
anon_0092664,0
anon_0092665,100
anon_0092666,100
anon_0092667,50
anon_0092667,50
anon_0092667,90
anon_0092666,85
anon_0092667,85
anon_0092665,100
anon_0092667,0
anon_0092667,0
anon_0092665,85
anon_0092668,100
anon_0092668,100
anon_0092668,0
anon_0092669,50
anon_0092664,95
anon_0092664,100
anon_0092669,0
anon_0092668,100
anon_0092669,0
anon_0092664,100
anon_0092669,0
anon_0092669,50
anon_0092670,50
anon_0092671,90
anon_0092671,85
anon_0092672,50
anon_0092673,40
anon_0092674,100
anon_0092671,90
anon_0092672,80
anon_0092672,85
anon_0092670,60
anon_0092675,90
anon_0092671,85
anon_0092672,85
anon_0092675,60
anon_0092673,85
anon_0092670,85
anon_0092673,85
anon_0092671,50
anon_0092671,50
anon_0092671,90
anon_0092676,65
anon_0092675,85
anon_0092676,85
anon_0092677,90
anon_0092678,100
anon_0092679,100
anon_0092680,0
anon_0092677,85
anon_0092679,85
anon_0092681,50
anon_0092682,100
anon_0092683,90
anon_0092683,85
anon_0092681,85
anon_0092684,85
anon_0092685,90
anon_0092681,50
anon_0092681,50
anon_0092683,90
anon_0092686,100
anon_0092687,100
anon_0092688,85
anon_0092689,75
anon_0092690,90
anon_0092690,95
anon_0092687,100
anon_0092689,50
anon_0092689,85
anon_0092691,100
anon_0092686,85
anon_0092690,85
anon_0092691,100
anon_0092691,100
anon_0092687,85
anon_0092686,85
anon_0092687,100
anon_0092685,85
anon_0092685,90
anon_0092692,100
anon_0092693,100
anon_0092692,95
anon_0092692,85
anon_0092693,90
anon_0092692,85
anon_0092692,90
anon_0092694,100
anon_0092695,95
anon_0092696,90
anon_0092696,90
anon_0092695,0
anon_0092697,95
anon_0092694,100
anon_0092698,50
anon_0092699,85
anon_0092696,85
anon_0092700,85
anon_0092700,85
anon_0092696,85
anon_0092695,85
anon_0092700,85
anon_0092695,90
anon_0092699,70
anon_0092696,85
anon_0092701,100
anon_0092702,90
anon_0092703,85
anon_0092703,100
anon_0092704,90
anon_0092702,50
anon_0092703,100
anon_0092703,70
anon_0092703,0
anon_0092705,0
anon_0092706,85
anon_0092705,95
anon_0092707,0
anon_0092708,90
anon_0092707,85
anon_0092709,90
anon_0092710,85
anon_0092707,50
anon_0092709,50
anon_0092709,90
anon_0092708,85
anon_0092707,95
anon_0092709,100
anon_0092709,30
anon_0092708,85
anon_0092709,85
